Lemma (見出し語)	Rank	Frequency (頻度)	Japanese (by Google)	Commentary (解説)	cf. code	Category code
topical	14,880	54	話題の	話題の. 論題の. 題目の. 原則的な. 時事問題の. 局部的な		
topless	18,625	37	トップレス	上部のない. 非常に高い		
Topo	16,859	44	トポ	Topo Gigio. イタリア人形劇のキャラクター		98
topographic	43,408	7	地形学的な	地理的		
topographical	36,956	10	地形	地理的		63
topography	21,758	28	トポグラフィー	地形学. 地勢学		63
topoisomerase	10,423	96	トポイソメラーゼ	トポイソメラーゼ. 2本鎖DNA(1本鎖DNAが互いに逆向きに結合し二重らせん化したDNA)を切断し再結合する酵素. 抗がん剤や抗生物質のターゲットとして知られる		88
topology	7,140	177	トポロジー	位相幾何学		54
topper	43,408	7	トッパー	topするもの. 上積み. 上層. 上部のもの. 短いオーバー. シルクハット. 高いバウンドのゴロ. いい奴. 優れたもの. 傑作. ピックアップ･トラックの荷台の上に取り付ける		
topping	43,408	7	トッピング	最高級の,素敵な　2. トッピング		39
topple	8,968	123	倒す	倒れる. ぐらつく. 倒す. よろけて倒れる.		
tops	7,502	163	トップス	上半身の衣服. 最高の物(人)		
topsoil	46,471	6	表土	表土		57
toque	43,408	7	トーク	(tóʊk). トーク(つばなしの小型の婦人帽). 羽かざりのついたビロードの帽子		
tor	40,852	8	TOR	(頂上のとがった)小さい岩山		63
torah	13,139	66	律法	律法		
torch	10,898	89	トーチ	たいまつ. 光. カンテラ		
torchlight	46,471	6	懐中電灯の明かり	たいまつ		
torment	12,914	68	苦痛	に肉体的苦痛を与える. を困らせるを苦しめる. を悩ます. 苦労の種. 苦痛. 苦悩. 拷問	691	
tormented	18,064	39	苦しめ	苦しめ		
tormentor	33,910	12	苦しめる人	いじめっ子	342	
torn	36,956	10	引き裂かれた	裂けた. 裂かれた		
tornado	7,819	152	竜巻	(陸上の)竜巻. 旋風	659	62
Toro	23,138	25	トロ	トロ(社名,芝刈り機メーカー他)		96
Toronto	4,561	347	トロント	トロント(カナダ)		2
torpedo	18,353	38	魚雷	魚雷(で破壊する). 地雷. (鉄道)発雷信号機. 2. シビレエイ. デンキナマズ. 3. (ギャングの)用心棒. 殺し屋		23
torpor	55,144	4	無気力	無感覚. 麻痺. 冬眠. 活動停止	821	91
torque	26,829	19	トルク	トルク. 回す力. 回転モーメント. 2. 貴金属の針金をねじって作った首飾り･首輪･腕輪		
Torr	16,610	45	トル	トル(トール,圧力の単位). 1Torr=1水銀柱ミリメートル(mmHg). 17Cのイタリアの科学者トリチェリに因む. (cf. tall. toll. torr. tole)		50
Torrance	28,448	17	トーランス	トーランス市. カリフォルニア州南西部. ロサンゼルスのダウンタウンの南方の商業地帯		2
torrent	14,085	59	急流	ほとばしり. 急流. 激流. 奔流. 豪雨. 土砂ぶり. 連発		
torrential	20,527	31	激しい	激しい. 急速な. 圧倒的な		
torrid	24,198	23	熱烈な	情熱的な. 焼けた. こげた. 乾き切った. 焼け付くような	999	
torsion	23,649	24	ねじり	ねじれ		
torso	13,521	63	胴体	胴. 胴体		79
tort	17,841	40	不法行為	私犯. 不法行為. =legal liability. (トートバッグのtote(背負う)は別語)	689	14
tortilla	10,986	88	トルティーヤ	(ｽﾍﾟｲﾝ語)トルティーヤ. メキシコ料理の一種		39
tortoise	22,163	27	カメ	カメ. のろい人. リクガメ. (cf. turtle. 主に海ガメ. tortoise主に陸ガメ. ウサギとカメはhare and tortoise. 淡水に住む亀はfreshwater turtleのようにturtleを使用)	275	72
tortuous	22,636	26	曲がりくねった	曲がりくねった. 曲りくねった		
torture	4,137	402	拷問	を拷問にかける. 苦しめる. ねじる. 拷問. 苦痛. 歪曲	691	
tortured	8,026	146	拷問	拷問された	691	
torturer	24,198	23	拷問者	苦しめる人. 拷問にかける人. 拷問者	691	
torturous	46,471	6	拷問の	残酷な. 拷問の	691	
torus	21,344	29	トーラス	トーラス(pl. tori). ドーナツ型. 輪環(面. 体)ともいう. (adj. toroidalドーナツ型の)		
Tory	10,696	92	トーリー	the Toriesトーリー党. 17世紀に王権支持派が国教擁護と非国教徒排斥を唱えて設立,Whig党と対立. 19世紀に現Conservative Party(保守党)となる		10
Tosca	18,625	37	トスカ	トスカ. プッチーニ作のオペラ		45
tosh	55,144	4	ナンセンス	あなた. あのう. きみ. がらくた. 戯言. ナンセンス		
toss	3,827	448	トス	を投げる. 寝返りをうつ. を激しく動揺させる		
tot	16,610	45	子供	ちび. 小児. 子供. 幼児. ちびっ子		
total	481	4,942	合計	全体の. 全ての. 総計の. 全くの. 総力の. 2. (車が)全壊する. 全損する.		54
totalitarian	17,312	42	全体主義の	全体主義の. 一国一党主義の. 全体主義者		19
totalitarianism	26,829	19	全体主義	全体主義. 国家統制主義		19
totality	27,590	18	全体	全体性. 完全(性). 全体. 皆既食		
totally	1,222	1,947	完全に	すっかり. 全く. entirely	741	
tote	11,863	78	荷物	トート(ふたのない箱). 2. (口語)運ぶ. 背負う. 3. 合計する(up)	689	31
Totem	20,935	30	トーテム	トーテム(北米インディアンが崇拝する自然物,特に動物)cf. totemic	583	9
totemic	38,763	9	トーテムの	トーテム信仰のcf. totem	583	6
totter	40,852	8	よろめく	よちよち歩く. よろよろ歩く. よろめく. ぐらぐらする		
touch	1,363	1,714	触れる	に触れる. 手触り		78
touchdown	11,080	87	タッチダウン	タッチダウン(アメリカンフットボール用語)		46
touche	32,594	13	トウシュ	一本あり. 参った!. うまい!		30
touched	23,649	24	触れる	触れる		
touching	26,084	20	触れる	ほろりとさせる. 人の心に触れる. 人を感動させる. 痛ましい. いじらしい		
touchstone	19,238	35	試金石	基準. 試金石		
touchy	17,075	43	厄介な	気難しい. 微妙な. 気を使わねばいけないような		
tough	1,662	1,371	タフ	強靭な. 丈夫な. 折れない. 強い. 堅い. 頑丈な. 困難な. 凶悪な. タフ	765	
toughen	20,527	31	強化する	頑健になる. 強くなる. 堅くなる. 粘り強くする. 頑固にする. 強健にする. 困難にする		
tougher	6,351	212	厳しい	厳しい		
toughest	12,344	73	過酷な	過酷な		
toughness	16,610	45	タフネス	粘り強さ		
Toulouse	29,384	16	トゥールーズ	トゥールーズ. フランスの南西部に位置するコミューン(市町村)		2
toupee	28,448	17	かつら	(はげ隠し用)男性かつら		
tour	1,073	2,264	ツアー	ツアー. 周遊する. 旅行する. 巡業する. 観光旅行		47
tourette	30,344	15	トゥーレット	トゥレット症候群(Tourette syndrome). チックという一群の神経精神疾患の内,音声や行動の症状のもの. 小児期に発症し約半数は18歳までに消失するとされている		84
tourism	5,191	286	観光	観光事業. 観光旅行		47
tourist	1,779	1,269	観光客	観光客. 旅行者		47
touristy	30,344	15	旅行者向けの	(観光)旅行者の. (観光)旅行者に人気のある		47
tournament	3,801	452	トーナメント	トーナメント. 試合. 競技. 選手権大会	981	46
tourney	27,590	18	トーナメント	トーナメント(特に馬上試合)(に参加する)	981	46
tourniquet	38,763	9	止血帯	駆血. 止血帯		92
tout	5,588	257	客引き	客引きする. 勧誘する. 大げさに宣伝する. 客引き. 運動員. (競馬の)予想屋. (泥棒の)見張り	773	
tow	11,863	78	牽引する	(綱･鎖で)を引っ張る(こと). (ロープ製造の)麻くず		
toward	605	4,034	の方へ	の方へ		
towed	26,084	20	曳航	曳航された		
towel	6,204	220	タオル	タオル. 手拭い		
tower	1,746	1,295	タワー	塔. やぐら. 要塞. とりで. そびえる		53
towering	10,027	102	そびえ立つ	非常に高い. 塔のような. 高くそびえる. そびえ立つ		
town	478	4,965	町	町. 街. 市街		18
townhouse	14,880	54	タウンハウス	タウンハウス		
townsfolk	43,408	7	町の住民	市民	881	25
township	15,371	51	タウンシップ	郡区. 町区		
townsman	43,408	7	町民	都会人. 町内の人		25
townspeople	32,594	13	町民	都会人		
toxic	3,801	452	毒性	有毒な. 中毒の	961	
toxicant	4,867	315	毒物	毒物	961	
toxicity	2,500	822	毒性	毒性	961	87
toxicology	23,138	25	毒物学	毒物学	961	87
toxin	5,983	233	毒素	毒素	961	
toy	2,694	740	おもちゃ	おもちゃ. おもちゃの. つまらぬもの. もてあそぶ. いいかげんに扱う		
toyed	30,344	15	おもちゃに	おもちゃに使われる. される		
Toyota	6,969	184	トヨタ	トヨタ(自動車メーカー)		41
TP	7,116	178	TP	Transfer pricing taxation. 移転価格税制 2. ツイストペア(twist pair)ケーブル 他		29
TR	10,423	96	TR	Test and Research Reactor(試験用原子炉), Time delay Relay(緩動継電器), Turning Radius(aircraft)(航空機旋回半径), Tuberculin Reaction(ツベルクリン反応)　他		29
trabecular	17,841	40	小柱	小柱		
trace	2,689	741	トレース	の跡をたどる. 追跡する. 跡. 足跡. 痕跡	827	
traceable	22,163	27	トレーサブル	跡をたどれる. 起源を発する. 帰せられる		
tracer	22,163	27	トレーサー	追跡者	827	
tracery	40,852	8	網目模様	(建築)はざま飾り. トレーサリー(ゴシック式窓上方の装飾的骨組み)		53
trachea	29,384	16	気管	気管	707	79
tracheal	26,084	20	気管の	気管の	707	
trachomatis	14,880	54	トラコーマ	Chlamydia trachomatis(クラミジア･トラコマチス). 主に目と性器に感染するクラミジア(真性細菌)の一種		85
tracing	31,439	14	トレーシング	さかのぼる. 透写. 追跡. 捜索. 複写	827	43
track	1,230	1,931	トラック	轍,小道,競技場のトラック. (track and field. 陸上競技). 鉄道路線. 証拠を追う(keep track of). CDなどの録音の単位. (一周できるものに使う). (cf. truck車のトラック)	585	41
tracker	30,344	15	追跡者	獲物を追う猟師. 警察犬. 追跡者. 砲撃目標追跡装置. 引き船. 船引き人	827	25
tracking	10,986	88	追跡	追跡	827	
tract	4,391	367	道	広がり. 広い地面. 地方. 地域. 小論文. 小冊子. パンフレット(特に宗教関係の)		
tractable	35,353	11	扱いやすい	従順な	800	
traction	14,726	55	牽引力	牽引		
tractor	12,240	74	トラクター	トラクター. 引く人. 引くもの		
Tracy	7,044	181	トレイシー	トレイシー(人名)		98
trade	787	3,109	貿易	取り引きする. 交換する. 商売する. 貿易する. 商業. 売買. 通商. 職業. 同業者. 顧客		16
trademark	6,719	194	商標	商標. 登録商標		
tradeoff	17,312	42	トレード·オフ	同時に満たしえない幾つかの条件の取捨についての考量. トレードオフ. 交換条件. 見返り		
trader	4,561	347	トレーダー	伝統的な. 貿易業者		
trades	8,790	127	トレード	トレード		
tradesman	46,471	6	商人	商人. 店員. 小売商. (商品)配達人		25
trading	2,353	897	取引	商取引		16
tradition	2,057	1,067	伝統	正式の財産引渡し. 伝統. しきたり. 言い伝え. 伝説		
traditional	1,332	1,762	伝統的な	伝統的な		
traditionalist	20,184	32	伝統主義者	伝統主義者		19
traditionally	4,204	393	伝統的に	伝統的に. 古来		
TRAF	29,384	16	TRAF	Tumor Necrosis Factor Receptor-Associated factor. 腫瘍壊死因子受容体因子		81
Trafalgar	27,590	18	トラファルガー	The Battle of Trafalgar トラファルガーの海戦. 1805年スペイン沖のナポレオン戦争最大の海戦. 英国はナポレオン1世の英本土上陸の野望を砕いた		10
traffic	2,074	1,058	トラフィック	交通. 交通の		41
trafficker	19,238	35	密売人	(悪徳)商人. (麻薬などの)密売人		
trafficking	8,417	136	トラフィッキング	密売		13
tragedy	4,191	395	悲劇	悲劇. 惨事. 悲劇的物語. 悲惨な出来事	991	82
tragic	5,835	242	悲劇的な	悲劇の. 悲劇的な. 悲劇に関する. 悲劇を演じる. 悲惨な	991	82
tragically	15,027	53	悲劇的に	悲劇的に	608	82
trail	2,657	750	トレイル	跡をつける. 引きずる. の後を追う. (人･動物が通ってできた)道. 痕跡. 航跡. 手掛かり. 裁判. 公判	827	
trailblazer	46,471	6	先駆者	先駆者. 開拓者		25
trailer	4,554	348	トレーラー	トレーラー. 引く人. 追跡者. 予告編. キャンピングカー	827	
train	1,149	2,108	列車	列車. 2. 訓練する		41
trainee	17,555	41	研修生	練習生		
trainer	6,555	202	トレーナー	訓練者. コーチ. 指導者. 練習機		46
training	1,086	2,238	トレーニング	トレーニング. 訓練する. 訓練. 教育. しつけ		46
traipse	29,384	16	足を棒にして歩き回る	だらだら歩く		
trait	4,675	335	形質	特性. 特. 特色. 特徴. 習性. 一筆		
traitor	13,952	60	裏切り者	裏切り者. 反逆者. 謀反人. 売国奴	798	
trajectory	10,237	99	軌跡	軌道	452	
tram	14,880	54	トラム	市街電車. 路面電車. 電車で行く. 電車軌道. 線路	452	
tramp	25,431	21	放浪者	足音高く歩く. 激しく踏みつける. 重い足取り. 徒歩旅行. 浮浪人. 放浪者		
trample	18,064	39	踏みにじる	踏みつけること. を踏む. 踏みにじる		
trampoline	23,138	25	トランポリン	トランポリン		46
tramway	43,408	7	路面軌道	路面軌道	685	41
trance	16,191	47	昏睡状態	失神. 有頂天. 恍惚状態. 夢中. 昏睡状態	320	84
tranquil	12,344	73	静かな	のどかな. 静かな. 平穏な. 安らかな		
tranquility	22,636	26	静けさ	静けさ. 静かなこと. 平和. 平静. 安寧		
tranquilizer	30,344	15	精神安定剤	鎮静剤. (薬)トランキライザー. 精神安定剤		87
tranquillity	20,935	30	静けさ	平静. 安寧		
trans	12,787	69	トランス	超えて. 横切って		
transact	55,144	4	処理する	処理する. 行う. 解決する. 取り引きする		
transaction	2,883	674	トランザクション	処理. 取り扱い. 取り引き. 取引. 報告書		
transactivate	28,448	17	をトランス	(細胞を)転写促進させる. 遺伝子が発現する速度は人工的・生物学的プロセスによって急増加する(分子生物学,遺伝学)		89
transactivation	10,898	89	トランス活性化	トランスアクチベーション. (離れた遺伝子の転写調節や細胞内情報伝達系の活性化を示す)		89
transactivator	24,198	23	トランス活性化因子	トランスアクチベーター,トランス活性化因子. (自身以外の特定DNA配列を認識して転写を活性化する調節タンパク質)		87
transaminase	26,084	20	アミノ基転移酵素	アミノ基転移酵素		88
transatlantic	21,344	29	大西洋横断の	大西洋の向うの. 大西洋横断の		
transcend	10,696	92	超越する	を超越する. 超越する		
transcended	29,384	16	超越	超越		
transcendence	30,344	15	超越	超越. 超絶. (神の)超絶性		
transcendent	26,084	20	超越的な	並みはずれた. 卓絶した. 抜群の. 超越的な.		6
transcendental	28,448	17	超越的	人知の及ばない. 超越的な. 超自然的な. すぐれた. 形而上の. 先験的な		
transcontinental	20,527	31	大陸横断の	大陸横断の		
transcribe	15,548	50	書き写す	転写する. 書換える. を書き写す. を複写する. を筆記する		89
transcribed	6,826	189	転写	転写された		35
transcript	1,154	2,098	転写物	写し. 複写. 転写物. 謄本		43
transcriptase	8,026	146	転写酵素	転写酵素		88
transcription	1,426	1,640	転写	写すこと. 複写. 転写. コピー		43
transcriptional	2,979	646	転写の	転写の		43
transcriptionally	15,371	51	転写	転写		81
transcriptome	16,191	47	トランスクリプトーム	トランスクリプトーム(transcriptome). 細胞中に存在する全てのmRNAないし一次転写産物(transcripts)の総体を指す		89
transduce	16,610	45	形質導入する	形質導入. 特定のファージ(細菌に寄生するウイルス)が感染した細菌の遺伝子を取り込み,次に感染する細菌内に導入する現象. 2. (物理)エネルギーなど変換する,伝達する	963	89
transduced	9,730	107	形質導入	＜transduce. 形質導入された		
transducer	18,353	38	トランスデューサー	(エネルギーの)変換器(マイクロフォン,モーターなど). 変換部. 磁気増幅器. 送受波器		
transduction	4,126	403	形質導入	形質導入. 特定の増殖様式を有するファージ(細菌を宿主にするウイルス)が感染した細菌の遺伝子を粒子内に取り込み,次に感染する細菌内に導入する現象		89
transect	30,344	15	横断する	横断する		
transept	20,935	30	翼廊	翼廊. (十字形教会堂の)左右に直角に張り出す部分. トランセプト		6
transfectant	21,344	29	トランスフェクタント	トランスフェクタント. 形質移入体		89
transfected	4,031	416	トランスフェクト	遺伝子導入された, 形質移入された		
transfection	4,685	334	トランスフェクション	トランスフェクション. 人為的にDNAやウイルスなどを細胞に取り込ませる手法		89
transfer	1,223	1,946	転送	を移す. を運ぶ. 転校する. 乗り換える. 移動. 転任. 運搬. 乗り換え. 版画		
transferable	32,594	13	譲渡可能	譲渡可能		
transferase	12,240	74	トランスフェラーゼ	トランスフェラーゼ, 転移酵素, 付加酵素		88
transference	33,910	12	移動	(感情の)転移		
transfix	50,313	5	突き刺す	釘付けになる. 立ちすくませる. を突き刺す	777	
transform	2,309	920	変換	変える. を変形する		
transformant	10,763	91	形質転換細胞	形質転換体(外部からDNAを取り込んだりすることにより形質が変化した個体や細胞)		89
transformation	3,228	574	変換	変換. 変形. 変化. 変容. 変質. 変態. 変圧	746	
transformative	26,829	19	変形させる	変形させる		
transformer	20,527	31	トランス	変化させるもの. 2. 変圧器		
transfusion	10,237	99	輸血	注入. 輸液		
transgender	20,527	31	トランスジェンダー	性転換の		84
transgendered	26,829	19	トランスジェンダー	性転換の		84
transgene	4,764	326	導入遺伝子	導入遺伝子		89
transgenic	4,107	406	トランスジェニックの	トランスジェニック, 遺伝子導入, 遺伝形質転換の		
transgress	35,353	11	罪を犯す	(罪を)犯す. (制限など)を越える. 逸脱する. に違反する		
transgression	15,752	49	罪	(法. 命令などの)違反. 逸脱. 破戒. (陸地への)海進. 犯罪. (宗教･道徳上の)罪		
transgressive	28,448	17	慣習に逆らう	慣習に逆らう		
transgressor	55,144	4	罪人	違犯者. (特に宗教･道徳上の)罪人. 違反者		13
transience	46,471	6	はかなさ	一時的であること. はかなさ		
transient	5,252	281	トランジェント	はかない. 無常の. 一時の. 短期の. つかの間の		
transiently	10,096	101	一時的に	一時的に		
transistor	23,649	24	トランジスタ	トランジスター		95
transit	7,786	153	トランジット	通過する. 運送. 推移. 通過. 経過. 通行. 運搬. 輸送		
transition	2,441	851	トランジション	移行. 変遷. 変化. 移り変わり. 推移. 過渡期. 変わり目. 政権移行期		
transitional	12,550	71	過渡的	移り変わりの		
transitive	20,935	30	他動詞	他動詞の. 推移的. 移行する		
transitory	27,590	18	一時的な	一時的な. つかの間の. はかない	408	
translatable	55,144	4	翻訳可能な	翻訳可能な. 言い換えられる		
translate	2,449	848	翻訳する	言い換えられる. を翻訳する. を変える. を移す. を動かす. を訳す. を解釈する. を説明する	526	
translation	2,675	745	翻訳	翻訳. 訳. 訳本. 解釈. 言い換え. 転換. 変形. 訳書	526	
translational	10,423	96	翻訳の	翻訳の		
translator	8,876	125	翻訳者	翻訳者. 通訳. 翻訳機. 翻訳家		
transliteration	20,935	30	音訳	音訳		
translocase	30,344	15	カーゼ	トランスロカーゼ(酵素). 転位酵素		88
translocate	25,431	21	転位	転居する		
translocation	7,502	163	転座	転座		
translucent	23,138	25	半透明の	半透明の		
transmembrane	6,939	185	貫​​通	膜貫通		
transmission	3,233	573	送信	変速機. 送信. 伝達. 伝染. 伝導. 発信		52
transmit	4,651	338	送信する	伝える. convey. を送る. を伝達する. 送信する. 発信する		
transmittal	43,408	7	伝送	伝送		95
transmitter	18,918	36	トランスミッタ	送信器. 送る人. 伝達者. 伝達装置. 譲渡者. 伝導物. 送信機. 送話器		95
transmogrify	38,763	9	一変させる	(魔法のように)姿･性格を一変させる		
transmute	43,408	7	変える	(性質・外観などを)変える(into). (根本的に,より高度なものに)変える		
transnational	19,536	34	国境を越えた	多国籍企業. 国家を越えた. 国境を越えた. 多国籍の. 国という枠組みを超えた		
transom	72,205	2	欄間(らんま)	横棒,横木,窓の横仕切り(反. mullion窓の縦仕切り),欄間		53
transparency	10,822	90	透明	透明度. 透明性		
transparent	7,317	170	トランスペアレント	透明な. 明白な. 透き通る. 透けてみえる. 薄い. 率直な. わかりやすい		
transparently	29,384	16	透過的に	透過的に		
transpire	35,353	11	発散する	明らかになる. 漏れる. 発散する		
transplant	4,346	372	移植	移植. 移住. 移住者. 移植された植物. を移植する. 移住させる. 移住する		71
transplantation	8,604	131	移植	Transplantation (外科). (臓器)移植. 移植法. 2. (植物)植え替え. 3. 移住. 移民.		
transponder	18,918	36	トランスポンダ	トランスポンダー(特殊信号を受け,自動的に返信するように設計された電気機器)		95
transport	2,562	793	輸送	を運ぶ. を夢中にさせる. 輸送. 輸送機. 運搬. 運送. 囚人護送船. 輸送機関		
transportation	2,678	744	交通	配送機関. 運輸. 運搬手段		
transporter	8,697	129	トランスポーター	運送者		
transposable	8,790	127	転位可能な	転位可能な		
transpose	33,910	12	入れ替える	置き換える		
transposed	21,758	28	転置された	転置された		
transposition	15,548	50	転置	転位(染色体の). (反. retrotransposition)		89
transposon	9,637	109	トランスポゾン	トランスポゾン(Transposon). 細胞内においてゲノム上の位置を転移(transposition)できる塩基配列. 動く遺伝子,転移因子(Transposable element)と呼ばれる		89
transsexual	26,829	19	性転換者	性転換者. 両性具有の人･動物		81
transubstantiation	40,852	8	聖変化	(宗教)全質変化,聖変化. カトリック教会のミサや正教会の聖体礼儀でパンとぶどう酒がイエス･キリストの体(聖体・聖体血)に変化するとされること		6
transverse	26,829	19	横の	横断する. 横の. 横断の. 横軸の. 横軸		
transvestite	17,841	40	服装倒錯者	異性の服装をする人		84
trap	2,953	653	トラップ	わなに掛ける. 罠を仕掛ける. わな. 落とし穴. 監視所. トラップ. 防臭弁		
trapdoor	50,313	5	トラップドア	跳ね上げ戸		
trapeze	40,852	8	トラピーズ	(曲芸･体操用の)空中ぶらんこ		46
trapezoid	38,763	9	台形	台形		54
trapper	31,439	14	トラッパー	わなで獣をとる猟師		25
trappings	14,243	58	象徴	装飾		
trash	3,472	511	ごみ	紙くず入れ(=wastebasket)	889	30
trashed	21,758	28	ゴミ箱に移動	ゴミ箱に移動		
trashing	29,384	16	トラッシング	トラッシング. ゴミ扱いすること. 廃棄	889	49
trashy	17,841	40	くだらない	くずの		
trauma	4,879	314	外傷	精神的外傷. 精神的ショック. (日常生活に支障を生じるような)深い心の傷		
traumatic	9,843	105	外傷性の	衝撃的な		
traumatize	16,859	44	傷つける	に外傷を負わせる. を傷つける. に損傷を与える. に精神的ショックを与える. に心の痛手を負わせる		
travail	18,353	38	苦労	骨折り. 苦痛. 辛苦. 苦労する. 骨折る	791	
travel	884	2,761	旅行	旅行. 旅行する. (光･音が)伝わる	977	47
traveled	46,471	6	旅	旅慣れた. 見聞の広い. 旅行者の多い		47
traveler	3,607	485	旅行者	旅行者. 旅客. 外交員. 移動販売員 (英, traveller)		47
travelled	21,344	29	旅	旅		47
traveller	14,880	54	旅行者	(英)旅行者. (米traveler)		47
travelogue	40,852	8	紀行	旅行談. 紀行映画		47
travels	12,344	73	旅行	旅行	977	47
traverse	17,555	41	トラバース	交差点. 横木. 横断(する). に矛盾する. 妨害する. を詳しく検討する		
traversed	30,344	15	トラバース	横断する		
travesty	19,238	35	茶番	こっけい化. 滑稽化		
trawl	46,471	6	トロール	トロール網で魚を取る. トロール網 troll(輪唱する. 流し釣りする) cf. troll(北欧民話の巨人)	429	68
trawler	38,763	9	トロール漁船	トロール漁船		68
tray	8,417	136	トレイ	盆. 受け皿. 料理をもった皿		
treacherous	16,859	44	危険な	信用を裏切る. 信頼できない. 当てにならない. (安全そうで)危険な		
treachery	35,353	11	裏切り	裏切り行為. 裏切り. 背信. 不信. 不実. 謀反	798	
tread	13,391	64	トレッド	を踏む. 行く. 歩く. 階段の段		
treadmill	14,085	59	トレッドミル	踏み車. 単調な仕事		
treason	14,880	54	反逆	背信. 反逆. 大逆. 反逆罪(国家転覆を企てた罪)		
treasure	4,300	380	宝	大切にする. (思い出など)を取っておく. 宝. 財産. 富. 重要な物		
treasured	20,184	32	秘蔵	秘蔵		
treasurer	15,956	48	会計	会計係. 出納係. 会計担当者. 出納官		
treasury	3,419	525	国庫	財務. 国庫. 基金. 宝庫. 宝物. 公庫. 資金		21
treat	745	3,328	扱う	を扱う. を手当てする. 楽しみ. 喜び. おごり		
treatable	29,384	16	治療可能な	治療可能な		
treating	28,448	17	治療	治療		92
treatise	18,353	38	論文	学術論文. 論文. 報告書		
treatment	471	5,037	治療	治療. 取り扱い. 待遇		92
treaty	3,463	514	条約	協定. 条約(国家･政府間で締結される合意). 約束	731	23
treble	33,910	12	トレブル	3倍. 3倍の. 3重の. 2. 最高声部(ソブラノ)の声		45
tree	850	2,878	木	木. 生えている木(cf. wood)	431	69
treetop	35,353	11	こずえ	こずえ		69
trek	4,151	400	集団移住	(長く苦しい)旅をする. 小旅行. (特に難儀な)旅行		
trekking	40,852	8	トレッキング	トレッキング		46
trellis	40,852	8	トレリス	格子. 格子垣. (cf. grid. grill. lattice)	820	
tremble	16,191	47	震える	震動する. (体が)震える. 身震いする. おののく. 揺れ動く. そよぐ. おののき	424	
tremendous	4,461	359	途方もない	ものすごい. 途方もない. 途方もなく大きい. ばかでかい		
tremendously	11,667	80	途方もなく	途方もなく		
tremor	19,536	34	震え	震動. 震え. 振動	424	
tremulous	40,852	8	震える	震えるような. 震えた. 震える. おののく. わななく. 揺れる. 振動する. 臆病な	424	
trench	14,726	55	トレンチ	にみぞを掘る. 塹壕を掘る. 掘る. 塹壕. 堀. 掘割	893	
trenchant	26,829	19	痛烈な	痛烈な		
trend	1,640	1,394	トレンド	トレンド. 流行. 傾く. 風潮. 傾向. 趨勢. 方向. 向く		
trendsetter	46,471	6	トレンドセッター	流行仕掛け人. 流行の最先端にいる人		25
trendy	8,876	125	トレンディー	最新流行の	943	
Trent	6,454	207	トレント	トレント大学(イギリス,カナダにある大学名)		26
trepidation	27,590	18	不安	恐怖	727	
trespass	29,384	16	不法侵入	を(不法に)侵害する. 不法侵入. 邪魔. 迷惑	951	
trespassing	25,431	21	不法侵入	不法侵入	951	14
tress	43,408	7	トレス	(女性の)髪のひと房. 巻き毛. 編んだ髪		
trey	36,956	10	トレイ	3の目. 3ドル相当のコカインの包み		87
tri	5,983	233	トライ	3を意味する接頭語		
triad	18,918	36	トライアド	三つ組. 3人組. 三和音. 三価元素		
triage	26,084	20	トリアージ	優先順位(を付ける)		
trial	752	3,292	公判	公判. 裁判. 試験. 試み. 努力. 苦難	432	12
triangle	6,454	207	三角形	三角定規. 三角形. 三人組み		54
triangular	15,956	48	三角	三角形の. 三者間の		54
triangulate	30,344	15	三角測量する	三角の. 三角形から成る. 三角模様のある		
triangulation	21,344	29	三角測量	三角測量		
triathlon	46,471	6	トライアスロン	トライアスロン. 3種競技		46
tribal	5,185	287	トライバル	部族の		
tribe	3,874	441	部族	部族. 種族. 一族		
Tribeca	28,448	17	トライベッカ	トライベッカ. (Tribeca, TriBeCa). ニューヨーク市ロワー･マンハッタンの地区の名. (＜Triangle Below Canal Street). キャナルストリート下の三角地帯		2
tribesman	25,431	21	部族の一員	部族の構成員		
tribulation	23,138	25	試練	苦悩. 苦難		
tribunal	10,696	92	法廷	裁き. 裁判所. 法廷. 裁決機関. 判事席		12
Tribune	5,789	245	トリビューン	トリビューン(新聞名)　2. ローマ時代の護民官 3. 民権擁護者		96
tributary	18,353	38	支流	貢献者. 属国. (川の)支流		
tribute	5,073	296	賛辞	賛辞. 弔辞. 贈り物. 記念品. 貢ぎ物		
triceratops	92,134	1	トリケラトプス	トリケラトプス. 中生代白亜紀後期に,現在の北米大陸に生息した植物食恐竜の一属. 白亜紀最後期の恐竜の一つで,中生代の終わりとともに姿を消した		72
trick	3,311	556	トリック	こつ. 策略. いたずら. 迷い. トリックの. を計略でだます. (俗)女の子. 娼婦の客	766	31
tricked	21,758	28	だまされた	だまされた	499	
trickery	33,910	12	ぺてん	詐欺		14
trickle	12,787	69	トリクル	したたる. ぽたぽた落ちる. ぽつぽつ来る. したたり. 細い流れ. (人の)流れ	640	
trickster	46,471	6	トリックスター	ごまかす人. 手品師. ペテン師. 娼婦	499	14
tricky	7,857	151	トリッキー	扱いにくい. 巧妙な. こうかつな. 油断のならない		
tricuspid	50,313	5	三尖弁の	(歯が)三つの先端のある. 尖弁の		
tricycle	36,956	10	三輪車	三輪車		41
trident	30,344	15	トライデント	(ギリシア神話)三つまたのほこ(海神Neptuneの標章). 三つ叉の槍		8
