英単語,訳,発音,解説,用例,用例・訳
prosperity,繁栄,prɑˈspɛrəti,"『繁栄』,成功",It will threaten the prosperity of the town.,それは町の繁栄を脅かすだろう。
prosperous,繁栄している；成功した；裕福な,ˈprɑspərəs,"『繁栄している』,成功している",Best wishes for a happy and prosperous New Year.,幸せで実りある新年を迎えられますように。
protester,"【名/C】異議申し立て人,坑議する人；主張（断言）する人",ˈproʊˌtɛstər,"【名/C】異議申し立て人,坑議する人
主張(断言)する人","Buddha' in broad terms that are the target of worshipping and making sculptures in Buddhism are generally categorized into four groups, namely 'Nyorai-bu' (group of Tathagata), 'Bosatsu-bu' (group of Bodhisattva), 'Myoo-bu' (group of Acala, one of the Five Wisdom Kings) and 'Tenbu' (group of protesters of Buddhist laws).
","仏教の信仰・造像の対象となっている、広い意味での「仏」は、その由来や性格に応じ、「如来部」「菩薩部」「明王部」「天部」の4つのグループに分けるのが普通である。
"
protocol,外交儀礼；議定書；プロトコル,ˈproʊtəˌkɑl,"〈U〉外交儀礼 
〈C〉条約の原案,議定書",It should be noted that Dole did not intend to change the configuration of the communication protocol.,ドールが通信プロトコルの構成を変えることは意図していなかったということに注意すべきである。
prototype,プロトタイプ；試作品,ˈproʊtəˌtaɪp,"(…の)原型;典型,模範《+『of』+『名』》","Architecture has always represented the prototype of a work of art 
","建築 は いつ でも 、 アート 作品 の プロトタイプ を あらわし て いる 。
"
provider,プロバイダ；接続事業者；供給者,prəˈvaɪdər,供給者,"The Nakahara clan was specialized in Myobodo (the study of Codes) and Myogyodo (the study of Confucian classics) and maintained for a long time its status as the Kanmu(a provider of official services) family for the Imperial court by inheriting positions Daigeki (senior secretary in charge of official documents) and Shogeki (junior secretary in charge of official documents).
","中原氏は明法道、明経道を司る家系で、大外記、少外記を世襲職とする朝廷の官務家として長く続いた。
"
provincial,州の,prəˈvɪnʃəl,"《名詞の前にのみ用いて》『地方の』,いなかの;州の,省の,県の 
地方特有の;いなかめいた 
偏狭な 
地方人,いなか者・管区長",His manner marks him as a provincial.,彼の態度から彼が地方出身なことは明らかだ。
provoke,"〈人の反応など〉を引き起こす, 誘発する；怒らせる, 挑発する；駆り立てる",prəˈvoʊk,"…‘を'『怒らせる』,不きげんにする 
(ある状態に)〈人〉‘を'『駆り立てる』 
〈けんか・議論・関心・感情など〉‘を'『引き起こす』",He was provoked into hitting her.,彼は怒って彼女をなぐった。
proxy,代理,ˈprɑksi,"〈U〉(…の)代理,代理権;〈C〉代理人《+『for』+『名』》 
〈C〉委任状","From April, the local government will implement a lump-sum proxy recipient program.",自治体が４月から一時金の受取代理制度を実施します
prudent,"【形】（かたく）慎重な；用心深い,分別のある；〖it is ～(for A) to do〗A…することは賢明である",ˈprudənt,"『用心深い』,慎重な 
倹約した","He is young, and yet he is prudent.",彼は若い、それなのに分別がある。
psychology,心理学,saɪˈkɑləʤi,"『心理学』 
《話》(個人・団体の)『心理』[『状態』]",She knows her husband's psychology.,彼女は夫の心理を心得ている。
publicity,宣伝,pəˈblɪsəti,"『広く知られていること』,周知;評判 
(…についての)宣伝,広報《+『about』+『名』》;(…の)広報《+『for』+『名』》",You're going to get much publicity with this book.,この本で、君はかなり評判になるよ。
publicly,公に,ˈpʌblɪkli,"公に,公然と;おおっぴらに 
公的に,公衆によって",she admitted publicly to being a communist,彼女は、共産主義者であることを公的に認めた
publish,発行する,ˈpʌblɪʃ,"〈本・雑誌など〉‘を'『出版する』,発行する;〈作家など〉‘の'作品を出版する 
…‘を'一般に知らせる,公表する 
出版する,発行する",I have tried every diet that has ever been published and I still haven't lost weight.,本に書かれていた全てのダイエットを試したが、まだ全然体重が減っていない。
punish,罰する；酷い目に合わせる；ペロリと平らげる,ˈpʌnɪʃ,"〈人〉‘を'『罰する』,こらしめる 
〈犯罪・違反・過ち〉‘を'『罰する』 
…‘を'手荒く扱う",You'll be punished if you break the law.,法を破れば罰せられるだろう。
punishment,罰,ˈpʌnɪʃmənt,"〈U〉罰を[を受けること] 
〈C〉処罰,刑罰 
〈U〉ひどい仕打ち,虐待",She took the punishment with a smile.,彼女は微笑みを浮かべてその処罰を受け入れた。
purchaser,購入者,ˈpɜrʧəsər,買い手,"THE PURCHASER of a black servant was persuaded that the color of his skin arose from dirt contracted through the neglect of his former masters.
","黒人 の 奴隷 を 買っ た 男 が 、 彼 の 黒い 肌 を 見 て 、 前 の 主人 が 怠慢 で 、 彼 を 洗っ て やら なかっ た の で 、 汚れ が こびりつい て いる の だ と 思っ た 。
"
purely,純粋に,ˈpjʊrli,"『全く』,完全に 
『純粋に』,きれいに,清らかに",He met Sam purely by chance.,彼はサミーにまったく偶然に会った。
pursuant,"【形】準ずる, 従った, 拠った 《to》；追跡する,追う；…に従って,準じて《to》",pərˈsuənt,"【形】準ずる, 従った, 拠った 《to》
追跡する,追う
…に従って,準じて《to》
（pursúant to A ： A《法･規則など》に従って, 応じて）",pursuant to our agreement,我々の合意に従って
pursuit,"追求；実行；追跡；追求するもの（娯楽,学業,仕事）",pərˈsut,"〈U〉(…を)『追うこと』,(…の)追跡《+『of』+『名』》 
〈U〉(目的・快楽などの)『追求』《+『of』+『名』》 
〈C〉(一般に)仕事,趣味",She spent her life in pursuit of the truth.,彼女は一生を真実を追い求めて過ごした。
puzzle,"【動/他】の頭を悩ませる；を困らせる【動/自】頭を悩ませる,考え込む【名/C】悩ませる物,難問,難物； パズル,なぞ",ˈpʌzəl,"【名/C】《単数形で》（頭を）『悩ませる物』（『事』,『人』）；難問,難物 
《しばしば複合語で用いて》（遊び用の）『パズル』,判じ物,なぞ 
【動/他】〈難問が〉〈人〉‘の'頭を悩ませる,を困らせる
（…について）〈頭〉をひねって考える《+『名』+『about』(『over』)+『名』》
【動/自】（…に）頭を悩ませる,（…を）頭をひねって考える,考え込む《+『about』(『as to, over』)+『名』》",I felt it was a relatively difficult jigsaw puzzle.,比較的難しいジグソーだと感じました。
qualitative,"【形】(量でなく)質的な,性質上の,質にかかわる,定性的な",ˈkwɑləˌteɪtɪv,"質の,質的な","This period was supported by the fact that it was a period of economic growth in which nameless average persons could achieve success in various forms thanks to rapid quantitative and qualitative developments which enabled such endlessly repeated quarrels.
","そのような永続的な衝突を可能にしたほど経済が急速に質量ともに発達していき、それまでの無名の庶民が様々な形で成功を収めることができる経済成長期であったことが時代を支えていた。
"
quantify,【動/他】定量化する,ˈkwɑntɪˌfaɪ,"…‘の'量を定める,‘を'定量化する",Can you quantify your results?,あなたは結果を量で表すことができますか？
quantitative,量的な,ˈkwɑntɪˌteɪtɪv,"量の,量的な","that the quantitative shift between its two poles turned into a qualitative transformation of its nature.
","それ は 、 二つ の 極 の 間 で 、 量的 な 変化 が その 性質 の 質的 変化 に シフト し て いく もの だっ た 。
"
quarterly,"【形】年4回の,3か月ごとの 【副】年4回に,3か月ごとに 【名/C】年4回の刊行物,季刊誌",ˈkwɔrtərli,"【形】年4回の,3か月ごとの 
【副】年4回[に],3か月ごとに 
【名/C】年4回の刊行物,季刊誌",A quarterly growth of 1.2% means an annual growth rate of 4.8%.,四半期１．２％の成長は年率４．９％の成長率を意味する。
quasi,疑似,ˈkwɑsi,"「(実質的には違うが)見たとこでは」「いくぶんか;ほとんど」の意を表す 
類以の,疑以の;ある意味の,準…",a quasi success,外見上だけの成功
query,質問,ˈkwiri,"質問,疑問・疑問符(?)・(不審・疑問を感じて)〈人〉‘に'質問する,〈人の気持ちなど〉‘を'問いただす・〈物事〉‘に'疑問をいだく,‘を'不審に思う・（コンピュータ）質問, 問い合わせ (特定の情報の検索をデータベースに要求すること)",The saleswoman queried as she wrapped the gloves.,美人店員は手袋を袋に包みながら尋ねた。
questionnaire,アンケート,ˌkwɛsʧəˈnɛr,"質問表,アンケート",Our company is a small but elect venture business that assists in entry and totalling of questionnaires.,当社はアンケート入力、アンケート集計のお手伝いをする少数精鋭のベンチャーです。
queue,行列；順番を待つ人々；待ち行列に入れる,kju,"(昔男性が後頭部から編んで下げた)弁髪 
《おもに英》(順番を待っている人・乗り物の)列 
〈人が〉(乗物などを)列を作って待つ《+『up for』+『名』》","Even now, you often see long queues for X.",Xにまだ行列が出来る
quit,終了する,kwɪt,"…‘を'『やめる』,『中止する』 
〈職・地位など〉‘を'『断念する』,『此てる』,放棄する 
《英では古》〈人・土地など〉‘から'去る 
やめる,中止する 
辞職(退職)する 
(敗北を認めなどして)断念する 
去る;立ちのく 
(…を)免れた,(…から)自由な《+『of』+『名』》",We were all pleased to be so cheaply quit of him.,これだけで厄介払いできたら安いもので、みな大喜びした。
quota,分け前；割り当て；定員,ˈkwoʊtə,(生産・分配などの個個への)割当・分け前; 割当て（額）・移民割当人数,"By 1995, Kiotsukete set a quota on copies made, and required that people prove that they were members of anime clubs. 
","1995 年 に は キヲツケテ は 作成 コピー 数 に 制限 を かけ 、 それ を 受け取る 人々 が アニメ クラブ の 会員 だ と 証明 する よう 要求 し はじめ た 。
"
quotation,引用,kwoʊˈteɪʃən,"〈U〉(…から)『引用すること』《+『from』+『名』》 
(また《話》『quote』)〈C〉(…からの)『引用語』(『句』),『引用文』《+『from』+『名』》 
〈C〉(株式などの)相場《+『on』+『名』》;相場をつけること",The following passage is a quotation from a well-known fable.,以下の一節は有名な寓話からの引用です。
rage,激怒,reɪʤ,"〈U〉〈C〉『激怒』,憤激 
〈U〉〈C〉《おもに文》(風・波などの)『猛威』,激しさ《+『of』+『名』》 
〈U〉〈C〉(感情・欲望などの)激しさ,強烈さ《+『of』+『名』》 
〈C〉(…に対する)熱望,熱情《+『for』+『名』(do『ing』)》 
〈C〉《話》(一時的に)『大流行しているもの』 
(…に)『激怒する』,憤激する《+『against』(『about,at,over』)+『名』(do『ing』)》 
〈風・波などが〉『荒れ狂う』,猛威をふるう",He went red in the face with rage.,満面朱をそそいで怒った。
raid,襲撃,reɪd,"(…への)『襲撃』,奇襲;(警察の)手入れ《+『on(upon)』+『名』》 
…‘を'急襲する;〈警察が〉…‘を'手入れする 
急襲する",The house was raided by the police.,その家は警察の手入れをうけた。
railway,鉄道,ˈreɪlˌweɪ,"《英》=railroad 
〈C〉《米》(一般に)線路,軌道",Please look up the first train to London in the railway guide.,鉄道案内書でロンドン行きの始発列車の時刻を調べてください。
rally,集まる；回復する；打ち合う,ˈræli,"(…のもとに)〈人〉‘を'『再び集める』《+『名』〈人〉+『around』(『to, behind』)+『名』》 
(…に対して)〈気力・体力など〉‘を'『持ち直す』,もう一度奮い起こす《+『名』+『for』(『to』)+『名』》 
(…のもとに)『再び集まる』;(援助などのために)はせ参じる《+『around』(『to, behind』)+『名』》 
(不幸・病気などから)『持ち直す』,立ち直る《+『from』+『名』》 
(テニスなどで)続けて打ち合う 
(次の活動のための)再結集 
(悪い状態からの)『持ち直し』,回復《+『from』+『名』》 
(特定の目的のための)集会,大会 
(テニスの)ラリー(続けて打ち合うこと) 
ラリー(長距離自動車レース)",he singled to start a rally in the 9th inning,彼はシングルヒットで9回の反撃の口火を切った
randomly,【副】無作為に,ˈrændəmli,"【副】無作為に,手当たり次第に
無計画に,でたらめに.","Although he is often described as a hopelessly violent villain in novels and TV dramas he also had open-hearted aspects which can be seen in such cases as: when Shinsen-gumi members had to borrow Montsuki kimonos from YAGI family upon visiting Katamori MATSUDAIRA, the Head of Aizu Clan, for a petition Gennnojo YAGI worried that they would all be bearing the same family crest (an extremely ridiculous situation at a public occasion), but SERIZAWA laughed, not minding at all; or when SERIZAWA came secretly to return a hibachi he borrowed from YAGI family, YAGI questioned him about cuts made by swords on the hibachi (when the members got drunk, they tested out their swords on randomly selected furniture that belonged to the YAGI family), but SERIZAWA said ""it's me, it's me"" and scratched his head and escaped.
","小説やテレビドラマでは手のつけられない凶暴な悪漢のように描かれることが多いが、会津藩主松平容保へ嘆願に行く時に八木家から紋付を借りることになり、全員同じ家紋になってしまうと八木源之丞が心配すると（公式の場では、かなり滑稽）、芹沢はまったく意に介せず笑っていたり、八木家から借りた火鉢をこっそり返しに来て、火鉢に刀傷があったので問いただしたら（隊士たちは酔って八木家の家財を手当たり次第に試し切りの材料にしていた）、「俺だ、俺だ」と頭をかいて逃げてしまうなど気さくな一面もあった。
"
rape,レイプ,reɪp,"〈婦女〉‘を'暴行する,強姦(ごうかん)する 
婦女暴行,強姦",most states have replaced the common law definition of rape with statutes defining sexual assault,大部分の州は、強姦の慣習法の定義を、性的暴行を定めている法規と入れ替えた
ratify,【動/他】を批准する / を承認する,ˈrætəˌfaɪ,…‘を'批准する,"The duke ratified the consent he had already given to the marriage;
","公爵 は すでに 結婚 に対して 与え た 承諾 を 確認 し た 。
"
ration,食糧,ˈræʃən,"〈V〉(非常時などの物資の)『配給量』 
〈V〉(兵士などの)1日分の糧食 
《複数形で》食料,糧食(food) 
(…に)…‘を'配給する《+『名』+『to』+『名』》 
…‘に'食料(糧食)を供給する 
〈物資〉‘を'供給を制限する;…‘を'配給制にする",We have used our ration of coal for the week.,一週間分の石炭を使ってしまった。
rational,合理的な,ˈræʃənəl,"(物事が)『道理にかなった』,合理的な 
(人が)『理性的な』,分別のある 
『理性を備えた』 
(数が)有理の","Although the arguments were rational, he was not convinced.",理論は理にかなっていたけれども、彼は納得しなかった。
rationale,"【名/C】根本原理,理論的根拠",ˌræʃəˈnæl,"理由の説明 
(ある物・事の)論理的根拠;原理","Eventually, when computer networks provide an easy way to send someone a small amount of money, the whole rationale for restricting verbatim copying will go away.
","やがて 、 コンピュータネットワーク が 、 少額 の 金銭 を 誰か に 送信 する 簡単 な 方法 を 提供 する なら 、 丸ごと その まま の コピー を 制限 する 正当 な 理由 は すべて なくなっ て しまう でしょ う 。
"
ray,光線；熱線；発する,reɪ,"『光線』;熱線;放射線 
《a ~》(希望などの)一筋(ひとすじ),ごく少量《+『of』+『名』》 
放射状に突き出たもの;(ヒトデなどの)腕",He put on sunglasses to protect his eyes from ultraviolet rays.,彼は目を紫外線から守るためにサングラスをかけた。
reactor,原子炉；反応器；反応を示す人,riˈæktər,"反応装置 
= nuclear reactor",the atomic reactor used a gas coolant,原子炉はガス冷却剤を使用した
readily,容易に,ˈrɛdəli,"『快く』,『進んで』(willingly) 
『容易に』,やすやすと(easily)","The cones of the jack pine, for example, do not readily open to release their seeds until they have been subjected to great heat.",例えばジャック・パインの松かさは、高温により影響を受けるまでは自ら開いて種子を放出しない。
realistic,現実的,ˌriəˈlɪstɪk,"『現実主義の』,現実的(実際的)な 
写実的な,写実主義の 
実在論の",The long discussion reached a realistic conclusion.,長い議論は現実的な結論に煮詰まった。
realizable,【形】はっきり理解できる；実現できる；利益が得られる；《英》換金できる,ˌriəˈlaɪzəbəl,"【形】はっきり理解できる 
実現できる 
利益が得られる 
《英》換金できる",realizable benefits of the plan,計画の実現可能な利益
realization,実現,ˈriləˈzeɪʃən,"〈U〉(希望・計画などの)『実現』,達成;〈C〉実現したもの《+『of』+『名』》 
〈U〉『完全に理解する』(『している』)『こと』;《a~》(具体的な)認識,自覚,体得 
〈U〉《the~》《話》(財産などの)売却;(財産を売却してある額の金を)手に入れること《+『of』+『名』》",The only limit to our realization of tomorrow will be our doubts of today.,未来の実現へのただ一つの限界は、現在への疑いだろう。
reap,得る；享受する；刈り取る；,rip,"〈穀類〉‘を'『刈る』 
〈作物〉‘を'『刈り入れる』,収穫する 
〈畑〉‘から'作物を刈る(収穫する) 
…‘で'『報いられる』;〈利益・報酬〉‘を'特る 
刈り取る,収穫する;《比喩(ひゆ)的に》利益を受ける",She reaped a rich harvest from her study abroad.,彼女は海外での研究から豊富な成果を得た。
reassure,安心させる；元気づける,ˌriəˈʃʊr,〈人〉‘に'自信を取り戻させる,"Mrs. Kearney was somewhat reassured, but be thought well to tell her husband part of her suspicions.
","カーニー 夫人 は いくぶん 安心 し た が 、 疑い の 一部 を 夫 に 話し た 方 が 良い と 考え た 。
"
rebate,【名】払い戻し；割引金,ˈriˌbeɪt,"(代金の一部の)払い戻し,割引 
〈代金の一部〉‘を'払い戻す,割り引く",He gave me a ten thousand yen rebate.,彼は１万円私に割り戻した。
rebel,"【名/C】反逆者,反抗者【形】反逆の,反抗の【動/自】《...に》反逆する,反抗する《aganinst》；《...を》ひどく嫌う《aganinst at》",ˈrɛbəl,"【名/C】(統治者・政府に対する)『反逆者』,(権威に対する)反抗者
《『R』‐》(南北戦争時の)南部連邦軍人 
《俗》南部の白人
【形】反逆の,反抗の 
《…に》反逆する,反抗する《+『against』+『名』》 
《…を》ひどくきらう《+『against』(『at』)+『名』(do『ing』)》",The notorious rebel was ultimately captured and confined to jail.,悪名高い反乱兵はついに捕らえられ、拘置所に身柄を拘束された。
rebound,はね返る；再び上昇する,riˈbaʊnd,"(…から)〈物体が〉はね返る《+『from』+『名』》 
(自分に)〈したこと[の報]が〉はね返る《『on』(『upon』)one『self』》 
はね返り",he is still on the rebound from his wife's death,彼はまだ妻の死から立ち直ろうとしているところだ
rebuild,再建する、再構築する,riˈbɪld,"…‘を'再建する,改築する,作り直す・たてなおす;〈社会など〉‘を'改革する 
再建させる","While America rebuilds at home, we will not shrink from the challenges nor fail to seize the opportunities of this new world.
","国内 で アメリカ を 立て なおす 一方 で 、 われわれ は 新しい 世界 を つくる 挑戦 に ひるむ こと も なけれ ば 、 また 新しい 世界 を 作る きっかけ を つかみ 損ねる こと も ない だろ う 。
"
receipt,領収書,rɪˈsit,"〈C〉『領収書(証)』 
〈C〉《複数形で》(取引の)受取高,収入金額 
〈U〉(…を)受け取ること,(…の)受領《+『of』+『名』》 
〈金・品物〉‘の'領収書(証)を出す 
〈請求書〉‘に'領収の署名をする,受領済みと書く",We need a signed receipt.,私たちはサインある領収書がいる。
receivable,【形】受け取れる,rɪˈsivəbəl,"受け取りうる,受け取っていい 
支払いを待っている,支払われるべき","However, sometimes they were engaged in illegal conducts such as attending the trial and supporting the legal procedures pretending to be the relative of the related party or municipal officials, or buying old bond for debt or receivables ledger and using them to obtain money and valuables from the other party.
","しかし、時には親族や町役人・村役人に成りすまして法廷に出廷して訴訟を補佐したり、古い借金証文や売掛帳面などを買い取って出訴して、相手側に内済を迫って金品を得るなどの不法な行為を行った。
"
receiver,受信機,rəˈsivər,"『受取人』 
管財人(判決が出るまでの期間,他人の財産や事業の管理を裁判所から任命された人) 
(電話の)『受話器』;(電信を)受信機;(テレビの)受像機 
(盗品の)故買人",Strange noises keep coming from the receiver and won't stop.,受話器から変な音がして止まらない。
recession,不況,rɪˈsɛʃən,"〈U〉奥に引っ込むこと,後退 
〈C〉景気後退",A recession is bound to come next year.,来年は不況が避けられませんよ。
recipe,【名/C】（食物・飲物などの）作り方；秘訣,ˈrɛsəpi,"(食物・飲物などの)作り方,処方《+『for』+『名』》 
(…の)秘けつ,妙法《+『for』+『名』》",The recipe serves six people.,その作り方の分量は六人分です。
recipient,受信者,rəˈsɪpiənt,(…の)受取人《+『of』+『名』》,The largest recipient of Japan's ODA that year was China.,その年の日本のＯＤＡの最大の受け手は中国だった。
reconcile,和解させる；調停する；一致させる,ˈrɛkənˌsaɪl,"(…と)…‘を'『和解させる』《+『名』+with』+『名』》 
《受動態で》(…に)〈人・自分〉‘を'甘んじさせる《+『to』+『名』(do『ing』)》 
〈不一致・粉争など〉‘を'解決する,調停する 
(…と)…‘を'調和(一致)させる)《+『名』+『with』+『名』》",I might as well kill myself as reconcile myself to my fate.,自分の運命に甘んじるくらいなら自殺した方がましだ。
reconciliation,和解,ˌrɛkənˌsɪliˈeɪʃən,『和解』;甘んじること;調停;調和,the reconciliation of his checkbook and the bank statement,彼の小切手帳と銀行口座通知書との一致
reconstruction,"【名/U】再建築,改築,整形；復興；再構築；【C】復元[再現]した物",ˌrikənˈstrʌkʃən,"〈U〉再建,改造,復興,復元 
〈C〉再建(改造,復元)された物 
《the R-》《米》南部諸州の再統合期,再建時代(南北戦争後,法律・諸制度を改正した1865年から1877年までの期間)",suppositious reconstructions of dead languages,死語を推測で再現すること
recruitment,"【名/U】新規募集；新兵徴募,新会員募集",rəˈkrutmənt,"新兵徴募,新会員募集;《古》補充,補強",The city of Kyoto will conduct the civil servant recruitment exam as follows.,京都市では、下記のとおり市職員採用試験を実施します
recycle,再利用する,riˈsaɪkəl,〈廃物など〉‘を'再利用する,There is a big movement today to recycle trash.,今日ごみを再利用する大きな運動が見られる。
redeem,改善する；名誉挽回する；救済する；履行する；返済する；償還する；現金[商品]に換える；買い戻す,rɪˈdim,"〈手放した物〉‘を'『買い戻す』;〈ローンなど〉‘を'払い終える,皆済する;(質屋などから)〈抵当〉‘を'請け出す《+『名』+『from』+『名』》 
〈名誉など〉‘を'取り戻す,回復する 
〈クーポンなど〉‘を'品物(金)に換える 
〈約束など〉‘を'果す,履行する 
〈短所など〉‘を'補う,償う,相殺する 
(身のしろ金を支払って)〈人〉‘を'自由にする;(罪から)〈人〉‘を'救う《+『名』+『from』+『名』》","He redeemed me, 
","イエス は 私 を あがない まし た 。
"
redemption,"救済,解放,救い；《株式・債券などの》償還,買い戻し；質受け",rɪˈdɛmpʃən,"買い戻し・（質や差し押さえ物の）取り戻し・(約束などの)履行 
(キリストの犠牲による)罪のあがらない","The government also shortened the redemption period to 5 years and promised that Dajokan bills left unredeemed after the redemption period would be redeemed with 6% annual interest.
","そして交換期限を5箇年に短縮し、もし期限にいたって交換未済のものがあるときはこれに対し1箇年6分の利子を交付することを約した。
"
redesign,【動/他】を再設計する【名/U/C】再設計,ˌridɪˈzaɪn,"【動/他】を再設計する,を再構築する
【名/U/C】再設計,再構築","This meant that I had to redesign the data formats of all those objects and rewrite all the functions that worked on them, and the result was that after about six months I had rewritten just about everything in the editor.
","と いう こと は 、 こういう オブジェクト すべて の データ 形式 を 設計 し なおし て 、 それ に 作用 する 関数 も みんな 書き直し て 、 結果 として 6 ヶ月 後 に は 、 ぼく は エディタ の ほとんど すべて を 書き直し て たっ て わけ 。
"
redundancy,冗長性,rɪˈdʌndənsi,"〈U〉余分な言葉を使うこと,冗長,冗漫 
余分なもの;不必要な言葉",the use of industrial robots created redundancy among workers,産業ロボットの使用は、労働者の余剰を産み出した
referendum,"【名/C】国民投票,住民投票；国民投票制度,住民投票制度",ˌrɛfəˈrɛndəm,"【名/C】国民投票,住民投票
国民投票制度,住民投票制度",The government put the question to the people in a referendum.,政府が住民に問う一般投票を実施しました。
referral,照会,rɪˈfɜrəl,"〈U〉参照(照会,委託,言及)すること;〈C〉参照(照会,委託,言及)された人(事) 
〈C〉推薦された人",Thank you for your referral.,紹介ありがとう。
refinance,【動/他】を借り換える；に再融資する【動/自】借り換える；再融資する,ˌrifəˈnæns,"【動/他】《ローンを》を借り換える；に再融資する
【動/自】借り換える；再融資する","(3) Short-term debt pursuant to the provisions of paragraph (1) shall be repaid within said fiscal year, however, provided that when said short-term debt fails to be repaid due to a lack of funds, only said lack of funds portion may be refinanced, after obtaining the approval of the Minister of Health, Labour, and Welfare.
","３　第一項の規定による短期借入金は、当該事業年度内に償還しなければならない。ただし、資金の不足のため償還することができないときは、その償還することができない金額に限り、厚生労働大臣の認可を受けて、これを借り換えることができる。
"
refine,"【動/他】精製する,洗練する",rəˈfaɪn,"…‘を'『精製する』,精錬する 
〈言葉・態度など〉‘を'『洗練する』,上品にする,優雅にする",refined sugar,精製された糖
reformer,改革者；宗教改革者,rɪˈfɔrmər,"(政治・制度などの)改革者,改善者","And some of those modern reformers who have placed themselves in strongest opposition to the religions of the past, have been noway behind either churches or sects in their assertion of the right of spiritual domination:
","過去 の 宗教 に 強力 に 対抗 し て いる 現代 の 改革 者 の なか に は 、 霊的 支配 の 正当 性 の 主張 という こと で は 、 教会 や 宗派 に 決 っし て ひけ を とら ない 人 も いる の です 。
"
reformist,"【名】改革主義者,革新主義者【形】改革主義者の,革新主義者の",rɪˈfɔrmɪst,"【名】改革主義者,革新主義者
【形】改革主義者の,革新主義者の","In some cases, these three reformist groups are called 'Shingi-ritsu' (new Risshu sect) and are distinguished from the former 'Kogi-ritsu' (old Risshu sect)
","この3派の革新派を「新義律」と呼称して、それ以前の「古義律」と区別することがある。
"
refund,"【名/C】払い戻し金,返金；【U】払い戻すこと；【動/他】返金する",ˈriˌfʌnd,"〈金など〉‘を'返済する,払い戻す 
(金などの)返済,払い戻し;返済金,払い戻し金","For delayed flights, seasonal adjustments are made on the basis of the original flight date and so refunds of air-mile difference will not be made.",遅延便については、オリジナルの出発日に基づくシーズナリティを適用するため、マイル差額の払い戻しはいたしません。
refusal,拒否,rəˈfjuzəl,"〈U〉〈C〉『拒否』,拒絶 
〈U〉《しばしばthe~》(諾否を決める)優先権,取捨選択権",His answer amounts to a refusal.,彼の返答は拒絶も同然だ。
regain,取り戻す；回復する,rɪˈgeɪn,"〈健康・記憶など〉‘を'『取り戻す』,回復する 
〈場所・状態など〉‘に'立ち帰る,再び着く","The guard's truncheon hit air. Off balance, he regained his posture to see a metal-mesh rubbish bin flying towards him.",警棒で空をなぐりつけ、よろめいて体勢をたてなおしたガードマンは、自分に向かって突進してくる金網づくりのクズカゴを見た。
regime,"【名/C】政権,政府；政治体制；制度",rəʒˈim,"【名/C】政権,政府；政治体制
管理方法；制度 
=regimen",His regime is bound to collapse.,彼の政権はきっと崩壊する。
regression,"【名/C/U】後戻り,後退；退化,退歩；回帰",rəˈgrɛʃən,"【名/C/U】後戻り,後退
退化,退歩
《統計》回帰
（対義語：progression）","On the other hand, there is another theory that gives negative evaluation to it regarding it as a regression because it merged the independent Togoku government into the Imperial Court.
","一方、独立した東国政権が朝廷へ併合されたのは後退であるとして消極的な評価を与える説もある。
"
regulator,"【名/C】 調整装置；取り締まり人,規制者,調整者",ˈrɛgjəˌleɪtər,"【名/C】 調整装置
取り締まり人；規制官；監察官；調整者
標準時計","The regulators such as the government officials at Dazaifu also participated in this kind of trading.
","また、大宰府の官人など取り締まる側もこうした交易に参画するようになった。
"
regulatory,"【形】取り締まる；調節する,調整する",ˈrɛgjələˌtɔri,"【形】取り締まる《当局・団体など》
調節する,調整する","regulatory tinkering is useless in this life-and-death context.
","制度 を いじくり 回し て も 、 この 生 と 死 の 関係 に は 何 の 役 に も 立た ない 。
"
rein,"【名/C】手綱；制御手段；制御,統率【動/他】を御する；を抑制する",reɪn,"【名/C】《しばしば複数形で》手綱
(…に対する)制御手段;統御力;制御,統率《+『on』(『over』)+『名』》 
【動/他】〈人が〉〈馬など〉を手綱で操る,御する 
〈人が〉〈感情など〉‘を'抑制する","Being a teacher, you must learn to keep a tight rein on your emotions.",君は一人の教師なんだから、自分の感情を厳しくコントロールできるようにならなければならない。
reinforce,"【動/他】を増強する,補強する； に増援する,援兵を送る",ˌriɪnˈfɔrs,"【動/他】を強化する；を増強する,補強する
に増援する,援兵を送る",reinforced concrete contains steel bars or metal netting,強化されたコンクリートには鉄棒または鉄網が含まれている
reinforcement,"【名/U】増強,補強【C】補強材；《複数形で》援軍,増援隊",ˌriɪnˈfɔrsmənt,"【名/U】増強,補強,強化
【C】補強材
《複数形で》援軍,増援隊",It would be great for those who need reinforcement.,それが補強をお考えの方に最適です
reinvest,"【動/他】を再び投資する,再投資する",ˌriɪnˈvɛst,"【動/他】を再び投資する,再投資する","After a certain period of time, he was reinvested with the official court rank demoted by several ranks as the regulations prescribed.
","一定期間の後に規定によって官位を数等降格させた上で再叙任される。
"
reinvestment,【名】再投資,ˌriɪnˈvɛstmənt,【名】再投資,"In 1982, Abilene became the first city in Texas to create a downtown reinvestment zone.",アビリーンは1982年に中心街の再投資ゾーンを創出したことではテキサス州最初の都市になった。
rejection,拒絶,rɪˈʤɛkʃən,"〈U〉〈C〉断ること,拒絶;却下 
〈C〉廃棄物",was indifferent to their acceptance or rejection of her invitation,彼女の招待を受けるか断るかには無関心だった
