英単語,訳,発音,英語の意味,解説,用例,用例・訳
plumber,配管工,ˈplʌmər,someone connects and mends water pipes for a living,"鉛管工,配管工","""It is an ordinary plumber's smoke-rocket, fitted with a cap at either end to make it self-lighting.
","「 普通 の 、 配管 工 の 持っ て いる 発煙 筒 で 、 両端 に 雷管 が 取り付け られ 、 自動 着火 式 だ 。
"
portable,携帯用の；移動式の,ˈpɔrtəbəl,something that is small and easy to carry,"『持チ運びのできる』,携帯用の 
携帯用器具,ポータブル(タイプ・ラジオなど)",Portable shrines and floats parade through the city.,神輿や山車が町を練り歩く
publicize,"【動/他】を公表する；を広告する,宣伝する",ˈpʌblɪˌsaɪz,make known generally,"【動/他】（事実･出来事など）を公表する
（出版物など）を広告する,宣伝する(advertise)
",He knows the information before it is publicized.,彼は公表前の情報を知っている
purse,財布,pɜrs,a small bag women use to carry personal items,"《米》(婦人用)『ハンドバッグ』 
『さいふ』 
《単数形で》資金,資力,財力 
〈C〉賞金,寄付金 
〈くちびるなど〉‘を'すぼめる,〈まゆ〉‘を'ひそめる《+『up』+『名,』+『名』+『up』》",Mother closed her purse with a snap.,母はぱちっとハンドバッグを閉めた。
query,質問,ˈkwiri,"question, inquire","質問,疑問・疑問符(?)・(不審・疑問を感じて)〈人〉‘に'質問する,〈人の気持ちなど〉‘を'問いただす・〈物事〉‘に'疑問をいだく,‘を'不審に思う・（コンピュータ）質問, 問い合わせ (特定の情報の検索をデータベースに要求すること)",The saleswoman queried as she wrapped the gloves.,美人店員は手袋を袋に包みながら尋ねた。
referee,審判,ˌrɛfəˈri,the person who oversees something to make sure that the rules are followed,"(スポーツ競技の)審判員,レフェリー 
仲裁人,調停者 
…‘の'審判をする 
審判をする",He's an odd man; so we'll have him referee.,彼一人だけ余る、だから審判させよう。
remainder,余り,rɪˈmeɪndər,what is left over,"〈U〉《集合的に;複数扱い》残り,残りの人(物) 
〈C〉(引き算の)残り;(割り算の)余り 
〈特に残本〉‘を'安売りする","for the remainder I know them to have happened, and there are some persons yet living, who will remember them but too well.
","そう で ない 部分 に し て も 実際 に あっ た こと だ と いう の は 分かっ て いる し 、 今 なお 生き て い て 、 その あたり を 過剰 な ほど よく 覚え て い そう な もの も いる 。
"
renovate,"【動/他】を元どおりに新しくする,修復する",ˈrɛnəˌveɪt,restore to a previous or better condition,"【動/他】…‘を'元どおりに新しくする,修復する",This will renovate my spirits,これは私の気分を一新するであろう
renovation,【名/C】修繕；刷新；改装,ˌrɛnəˈveɪʃən,the process of being restored to a previous or better condition,"刷新(修繕)すること 
復活,回復","The renovation work, performed from 1905 to 1911, found 50 cm-bend in Koryo, which was reinforced by a steel beam.
","1905年（明治38年）から1911年（明治44年）にかけての修繕作業において虹梁が約50センチメートル曲がっていることがわかり鉄骨で補強されている。
"
renown,高名,rɪˈnaʊn,the state of being well known,"(…で)『高名』,『名声』《+『for』+『名』》",a renowned painter,名高い画家
reunion,再会,riˈunjən,when people get together to meet up after not meeting for a long time,"〈U〉再結合すること 
〈U〉(親しい者たちの)再会,同窓会","On Sunday nights there would often be a reunion in Mrs. Mooney's front drawing-room.
","日曜 の 夜 に は ミセス ・ ムーニー の 客間 で よく 懇親 会 が 行わ れ た 。
"
salon,店；客間；現代美術展,səˈlɑn,"a store where you can get a particular service, like getting your hair styled","(上流家庭の)客間,大広間 
(昔のフランスで,上流貴婦人の開いた)招待会;社交界 
美術品展示場(室),画廊 
《米》(美容・服飾などの)店","And inside, as we wandered through Marie Antoinette music-rooms and Restoration salons, I felt that there were guests concealed behind every couch and table, under orders to be breathlessly silent until we had passed through.
","中 に 入り 、 みんな で マリー ・ アン トワ ネット 風 の 音楽 室 や 王政 復古 時代 風 の サロン を さまよい 抜け ながら 、 ぼく は 、 どの 寝 椅子 、 どの テーブル の 影 に も 客人 たち が 隠れ て い て 、 命令 に 従い 、 ぼく ら が 通り抜ける まで ひっそり と 息 を 殺し て いる よう な 感じ を 受け た 。
"
scarf,スカーフ；かけ布；スカーフをつける,skɑrf,"a long, narrow piece of material you wear round your neck to keep you warm","『スカーフ』,えり巻き 
《米》掛け布;テーブル掛け,ピアノ掛けなど","I'm really sorry, but I seem to have misplaced your scarf.",本当に悪いんだけど、君の襟巻き、どっかに置いてきてしまったらしいんだよ。
serial,連続もの；連続的な；直列の,ˈsɪˌriəl,"ongoing, happening more than once in a particular order","(雑誌などの)連載物;定期刊行物;(テレビ・ラジオなどの)続き物,連続物 
続き物の,連続物の 
連続している,順次の","If it goes well, I'll put you forward for a drama serial.",うまくいったら連ドラを紹介してあげる。
shuttle,折り返し運転；頻繁に往復する；往復させる,ˈʃʌtəl,travel back and forth between two points,"(織機の)杼(ひ)(縦糸の間を走り横糸を通す器具) 
(ミシンの)シャトル(下糸を入れる器具) 
(特に短距離の)定期往復列車(バス,飛行機)便 
…‘を'前後(左右)に動かす,往復させる 
行ったり来たりする,左右に動く","The launch, which had been scheduled for this morning, was postponed because of the illness of shuttle Commander John Creighton.",今朝に予定されていた打ち上げは、ジョン・クレイトン船長の病気のために延期された。
signify,示す；意味する；重要である,ˈsɪgnəˌfaɪ,shows a sign that it has an important meaning,"《文》〈物事が〉…‘の'『印である』,‘を'表す,意味する 
《文》〈人が〉(合図・言動で)…‘を'『示す』 
《文》(合図・言動で)知らせる 
《話》《通例否定文で》重要である,関係(影響)する(matter)",The bond between the signifier and the signified is arbitrary--de Saussure,知らせる人と知らされる人の間のつながりは不確定であるーデ・ソシュール
skate,スケートをする；スケート靴,skeɪt,glide over the surface as if you are sliding on ice,"=ice skate 
=roller skate 
『スケートをする』,氷滑りをする",She can both ski and skate.,彼女はスキーもスケートもできます。
snack,軽食；間食；たやすいこと；軽食をとる,snæk,Small amount of food eaten between meals,"(特に食事と食事の間にとる)『軽食』,スナック 
軽い食事をとる;間食する","If you want to lose weight, you should cut down on between-meal snacks.",体重を減らしたいのなら、間食は減らすべきだよ。
sofa,ソファー,ˈsoʊfə,"a long soft seat with a back, big enough for at least two people to sit on","『長いす』,ソファー",She lay on a sofa with her eyes closed.,彼女は目を閉じてソファーに横になっていた。
spa,鉱泉；温泉；健康センター,spɑ,"a place you can go to relax and  improve your health, or how you look","鉱泉,温泉 
温泉場",The outdoor spa at this hot-spring is wonderful.,この旅館は露天風呂がすばらしいのよ。
spectator,観客,ˈspɛkteɪtər,a person who watches something happening,"『観客』,見物人,傍観者",The stadium was packed with excited spectators.,野球場は興奮した観客でいっぱいだった。
spite,悪意,spaɪt,the desire to direct bad feeling towards someone,"悪意,意地悪 
《a ~》(…への)恨み《+『against』(『at』)+『名』》 
〈人〉‘に'意地悪をする,‘を'困らせる",She went to school in spite of the pain in her leg.,彼女は足が痛かったにもかかわらず学校へ行った。
stereo,ステレオ；立体音響；ステレオの,ˈstɛriˌoʊ,a device that plays sound through two or more speakers,"ステロ版,鉛版(stereotype) 
『ステレオ』(立体音響再生装置)(stereo set) 
=stereophonic","Turn off the stereo, please",ステレオを切ってください
submission,提出,səbˈmɪʃən,"the act of formally delivering a document, for a decision to be made about it","服従,屈服,降伏 
従順 
(考慮・決定を求めて書類などの)提出,提示《+of+名》","concealed in the forest at the bottom of that military rat-trap, in which half a hundred men in possession of the exits might have starved an army to submission, lay five regiments of Federal infantry.
","軍事 的 ねずみ 取り 、 つまり 50 人 の 男 で 出口 を 押さえれ ば 一 軍隊 を 飢え させ 降伏 さ せ うる よう な 罠 として 、 谷 底 の 森 に 北 軍 の 歩兵 5 個 連隊 を 潜ま せ て 。
"
surf,寄せる波；サーフィンをする,sɜrf,move from one website to another on the internet,"(海岸・岩に砕ける)寄せ波,岸打つ波 
(砕ける波の)白いあわ 
波乗りをする,サーフィンする 
投げ釣りの","On stormy nights, when the wind shook the four corners of the house and the surf roared along the cove and up the cliffs, I would see him in a thousand forms, and with a thousand diabolical expressions.
","嵐 の 夜 は 、 風 が 家 の 四隅 を ゆらし 、 波 は 入り江 で くだけ 崖 に 打上げ て 、 僕 は 一 本 足 の 男 が ありとあらゆる 姿 に かたち を かえ 、 本当に 悪魔 の よう な 表情 を し て いる よう に 見え た もの だ 。
"
sweater,セーター；汗をかく人；発汗剤；搾取する雇い主,ˈswɛtər,"a warm item of clothing worn over the arms and upper body, made of wool, ",『セーター』,Mother made me a sweater.,母は私にセーターをつくってくれた。
tablet,錠剤；メモ帳；銘板,ˈtæblət,a small flat solid cake of some substance,"(銘文などを彫り込む,金属・石の)銘板 
(昔文字を記した粘土などの)書字板 
《まれ》(はぎ取り式の)メモ帳,便せん帳(pad) 
錠剤,(チョコレート・石けんなどの)板状小片",It says on the label to take two tablets.,ラベルには一回２錠と書いてある。
tailor,洋服屋；仕立て屋；服を仕立てる,ˈteɪlər,adjust something to fit a specific need or market,"(男子服の)『洋服屋』,仕立て屋 
〈男子服〉‘を'『仕立てる』 
(特定の目的に合うように)〈物・計画など〉‘を'『作る』《+名+to+名》 
洋服屋(仕立て屋)をする",He bound his son to a tailor.,彼は息子を仕立屋に奉公に出した。
technician,技術者；専門家；技巧家,tɛkˈnɪʃən,someone who is trained with special skills to do practical work,"(科学・職業上の)専門家,専門技術者 
(音楽・美術などの)技巧派","All the scientists and engineers and technicians freed from bothering with war research and planned obsolescence would have a good time devising means to eliminate fatigue and tedium and danger from activities like mining. 
","科学 者 ・ エンジニア ・ 技術 者 は 、 戦争 研究 や 、 わざと 陳腐 化 さ せ た 商品 の モデルチェンジ など に 悩まさ れる こと から 解放 し 、 鉱山 労働 の よう な 作業 から 疲労 や 退屈 ・ 危険 を なくす 方法 の 研究 など 、 もっと 楽しい 研究 を さ せる べき で ある 。
"
teen,１０代の；１０代向けの,tin,someone aged between the ages of thirteen and nineteen,"=teenage 
=teenager",She knew the teen.,彼女は、ティーンを知った。
terrific,ものすごくいい；大変な；恐ろしい,təˈrɪfɪk,very great or wonderful,"(大きさ・程度が)ものすごい 
恐ろしい 
《話》とびきり良い,すばらしい(excellent)",A car went by at terrific speed.,車が猛スピードで通り過ぎていった。
tidy,"【形】整然とした,きれい好きな 【動/自/他】整頓する",ˈtaɪdi,put things in their correct place,"『きちんとした』,整然とした;(人・動物などが)きれい好きな,自分をきれいにしている 
《話》かなりの 
…‘を'きちんとする,整とんする《+名+up,+up+名》 
かたづける,整とんする《+up》","After the room was tidied up, she went out.",部屋を片付けた後彼女は外出した。
toll,通行料金,toʊl,a small cost or fee you pay to use a service,"〈鐘が〉(にっくり規則的に繰り返して)鳴る 
(ゆっくり規則的に繰り返して)〈鐘〉‘を'鳴らす 
〈鐘が〉…‘を'知らせる 
鐘を鳴らすこと 
鐘の音",You need to have exact change to pay the toll of the expressway.,有料高速道路の通行料金を払うにはお釣りがあってはいけません。
tow,"【動/他】を引っぱる,牽引する,撤去する；引き連れる【名】引っぱる[られる]こと；引かれる船[車]",toʊ,pull something along,"(ロープや鎖で)〈自動車など〉‘を'引く,引っ張って行く 
〈C〉引くこと;〈U〉引かれている状態 
〈C〉引かれて行く車(船)","Taikung Wang (Taikobo-zu (picture of angler)) a pair of tow-fold screens, Korin OGATA
","太公望図二曲一隻尾形光琳
"
transit,運送；運送機関；通過；横切る,ˈtrænzɪt,on the move from one place to another,"通過,通行 
(…の)輸送,運搬《+of+名》 
天体が子午線を横切ること,(小天体が)他の天体を横切ること 
〈天体が〉〈太陽面〉‘を'通過する",The electrical appliance must have been damaged in transit.,その電気器具は輸送中にこわれたのにちがいない。
umbrella,傘,əmˈbrɛlə,"something, like an organization, that covers a  similar range of things ","傘(かさ),こうもり傘,雨傘,日傘 
(一般に,傘状の)保護物,影響力","Since it's not the rainy season, there's no need for an umbrella.",梅雨時でもないんだから、傘は要らないんじゃない。
underline,下線,ˈʌndərˌlaɪn,to call attention to,"〈語句〉‘に'『下線を引く』 
…‘を'強調する 
(強調または斜体字を示す)下線,アンダーライン",Translate the underlined part.,下線部を訳せ。
usage,使用法,ˈjusəʤ,the usual or customary way in which something is used,"〈U〉(物の)『用い方』,用法 
〈C〉〈U〉(言語の)『慣用[法]』,語法","In the case of not agreeing to the conditions of the usage consent contract, promptly return the unopened media package to ABC for a full refund.",使用許諾契約書の条項に同意されない場合は、未開封のメディアパッケージを速やかにABC社に返送していただければ、商品代金を全額払い戻し致します。
vacant,空いている；使われていない；ぼんやりとした,ˈveɪkənt,empty,"(部屋・家・座席・土地などが)『あいている』,無人の 
(地位・役職などが)『空席の』,欠員のある 
放心した,ぼんやりした;間の抜けた,ばかな 
(時間などが)『あいている』,暇な",There wasn't a single vacant seat in the hall.,ホールには空席は一つもなかった。
vacation,休暇,veɪˈkeɪʃən,a holiday or break from work,"〈C〉《おもに米》『休暇』,休み(《英》holiday) 
〈C〉〈U〉《文》(部屋・家・土地などを)明け渡すこと,立ちのき;辞職,退任《+of+名》 
(…で)『休暇をとる』《+at(in)+名》",I've finally got some vacation coming as of the end of this week.,いよいよ今週を限りに、しばらくのお休みです。
vacuum,真空,ˈvækjum,a completely empty space,"真空 
《単数形で》‘空虚',‘空所',空白 
(現実から隔離された)孤立状態 
《米》=vacuum cleaner 
‘…を'電気そうじ機でそうじする 
電気掃除機をかける",Is it the vacuum cleaner's fault that the room is dusty?,部屋がほこりっぽいのは掃除機のせい？
vase,花瓶,veɪs,"a jug or urn to put cut flowers in, to make a room look pretty ",『花びん』;(装飾用の)つぼ,Mother placed a large vase on the shelf.,母は棚の上に大きな花瓶を置いた。
vegetarian,菜食主義者；菜食主義の；野菜だけの,ˌvɛʤəˈtɛriən,someone who does not eat meat or fish,"菜食主義者(道徳上または健康上の理由で魚・肉を食べず,野菜だけを食べる人) 
菜食主義の 
野菜だけの","I'm a vegetarian, so I'd rather not have meat, if that's okay.",ベジタリアンなので、できればお肉は遠慮したい。
violin,バイオリン,vaɪəˈlɪn,small wooden instrument with four strings for making music,『バイオリン』,She would often practice the violin on the roof.,彼女は屋上でよくヴァイオリンの練習をしていたものだ。
visa,ビザ；査証；査証する,ˈvizə,travel permit that allows you to enter a particular country for a period of time,"(旅券の)査証,ビザ,入国出国許可 
〈旅券〉‘を'査証する",She applied for a visa.,彼女はビザを申請した。
voucher,伝票,ˈvaʊʧər,a piece of paper that you can use to buy goods or to get them at a reduced price,"(受領・支払いの)証書,受領証・証拠物件 
保証人,証人","A voucher for one bowl of free ramen good for one month is given to customers when they order noodles or a set menu including noodles.
","麺類や麺類を含む定食を注文すると、1ヶ月間有効のラーメン1杯無料券が貰えるというもの。
"
wallet,財布,ˈwɔlət,"a small case that can fit in a pocket, used by men to hold money  and credit cards","(折りたたみ式で通例皮製の)『紙入れ』,財布 
《古》(乞食・巡礼などの)がっさい袋,ずだ袋",The delinquents knocked him down and stole his wallet.,不良たちは彼を殴り倒して財布を奪った。
wireless,無線,ˈwaɪrlɪs,a means of communication that uses radio waves instead of wires,"〈U〉『無線』,無線電信 
〈U〉《the wireless》《英》ラジオ[放送,番組];〈C〉『ラジオ』[受信機] 
無線[電信,電話,電報]の 
《英》ラジオの",a wireless security system,無線セキュリティーシステム
worthwhile,【形】価値のある / やりがいのある,ˈwɜrˈθwaɪl,useful; there is some value to it,"時間(費用,手間)をかけるだけの価値がある,やりがいのある",The hard work was worthwhile because I passed the exam.,猛勉強も、受験に受かったから、それだけの値打ちがあった。
wrinkle,"しわ,ひだ；しわをつくる；名案",ˈrɪŋkəl,a crease or fold,"(布地・皮膚の)『しわ』 
…‘に'『しわを寄せる』 
『しわが寄る』",She has started to get a few wrinkles around her eyes.,彼女の目の回りには、小じわができてきた。
zoo,動物園,zu,a park where many different types of live animals are kept,『動物園』,I am looking forward to going to the zoo.,僕は動物園へ行くのを楽しみに待っているんだ。
abide,"【動/他】（否定文・疑問文で）を我慢する【動/自】とどまる,残る；住む",əˈbaɪd,put up with,"(ある状態に)とどまる;残る 
住む 
《まれ》…'を'じっと待つ 
《否定文・疑問文で》…'を'がまんする,‘に'耐える",I can't abide that fellow.,僕は、あいつには我慢できない。
acclaim,【動/他】歓呼して迎える、称賛する　【名/U】称賛,əˈkleɪm,approval and great praise,"〈人〉‘に'かっさいする,'を'歓呼して迎える 
歓呼,かっさい",They acclaimed him their leader.,彼らは歓呼して彼を指導者に迎えた。
amenity,快適さ,əˈmɛnəti,"Something, like a swimming pool in a town, that makes life more comfortable and enjoyable.","《the amenities》礼儀正しい行為(言葉) 
〈U〉〈C〉快適さ,ここちよさ;楽しさ",he discovered the amenities of reading at an early age,彼は若いときに読書をするのが楽しいということを知った
audition,試演；聴力；聴取；オーディションを受ける,ɑˈdɪʃən,a try out done by a performer to test whether they have the skills to do the job,"〈C〉視聴テスト,オーディション(歌手・俳優など声の質や演技を試す審査) 
〈U〉聴力,聴くこと 
〈歌手・俳優などの能力〉'を'視聴審査する 
〈歌手・俳優などが〉(ある役に対して)視聴審査を受ける《+『for』+『名』》",She went in for the audition last week.,彼女は先週オーディションを受けた。
banquet,晩餐会；大宴会；晩餐会を催す；御馳走を食べる,ˈbæŋkwət,a formal meal given for a lot of people,"(公式の)『宴会』 
…‘の'ために宴会を開く 
宴会に列席する",They regaled me on a Chinese banquet.,彼らは私を豪華な中華料理でもてなした。
barbecue,バーベキュー,ˈbɑrbɪˌkju,"meal that has been cooked on a grill, outdoors","バーベキュー,《米》バーベキューパーティー(園遊会) 
バーベキュー用の台 
〈食用肉〉'を'じか火で焼く;…'を'濃く味つけしたソースで料理する",The men are having a barbecue.,男性たちはバーベキューをしている。
beforehand,予め,bɪˈfɔrˌhænd,earlier in time,"前もって[の],あらかじめ[の]",He will ask your opinion beforehand.,彼が事前に皆さんの意見を伺います
blueprint,設計図,ˈbluˌprɪnt,a drawing or plan to show what the finished thing will look like,"(建築・機械の設計図の)青写真 
(詳細な)計画 
…'を'青写真にとる",The spokesman explained the blueprint of the scheme to the press.,報道担当官がその計画の青写真を報道陣に説明した。
booth,小さく仕切られた部屋；展示スペース,buθ,"an enclosed space like a cubicle, stall or stand","(木の枝・帆布などでできた)仮小屋 
売店,屋台店 
(特定の用途のための)小さく仕切った部屋,ブース 
(喫茶店などの)ボックス,仕切度",I have left my umbrella in the phone booth.,傘を電話ボックスに忘れてしまった。
briefcase,書類かばん,ˈbrifˌkeɪs,a small case with a handle usually used for carrying business papers,ブリーフケース(書類などを入れるおもに皮製の平たいかばん),"When you get into a commuter train, you see the briefcases neatly stacked on the racks.",通勤列車に乗ると、鞄が棚にきちんと並べられていることが見える。
browse,"【動/自/他】漫然とながめる,ざっと目を通す；食べる【名/C】拾い読み",braʊz,"look or leaf through casually, like looking through a book without really reading it","《副詞[句]を伴って》漫然とながめる,ざっと目を通す 
〈牛・シカなどが〉若葉(新芽)を食べる,草を食べる 
…‘に'若葉(新芽)を食べさせる;〈若葉・新芽〉'を'食べる 
(牛・シカなどが食べる)草,細枝,新芽","(i) request for browse and photocopying of the financial statements, etc., in the case that they are provided in the form of paper.
","一　財務諸表等が書面をもつて作成されているときは、当該書面の閲覧又は謄写の請求
"
buffet,激しく揺さぶる；翻弄する；簡易食堂；セルフサービスの食事,ˈbʌfət,a meal consisting of a number of different dishes from which people serve themselves,"(手・こぶしの)打撃 
(風波・運命などに)もまれること,もて遊ばれること 
(手・こぶしで)…'を'打つ 
(波・運命が)…'を'もむ,もて遊ぶ《+『名』+『about』,+『about』+『名』》 
《文》〈波・運命〉‘と'戦う",The buffet or the cafeteria is in Car 9.,ビュッフェ、またはカフェテリアは９号車にあります。
carpenter,大工；木工職人；大工仕事でつくる,ˈkɑrpəntər,a person makes and mends things made of wood for a liviing,『大工』(だいく),He is a carpenter by trade.,彼の職業は大工です。
cartridge,交換用容器；弾薬筒；実包,ˈkɑrtrəʤ,"a piece of the equipment that is a sealed unit, and that can be taken out and replaced ","弾薬筒,薬包 
(インク・フィルム・レコード用針など差し換えができる)カートリッジ,(録音・録画テープの)カセット",Please replace the empty ink jet cartridge in the printer.,プリンターの空のインクを取り替えて下さい。
closet,戸棚；収納室；秘密の；部屋に閉じ込める,ˈklɑzət,a small cupboard,"《おもに米》(衣類・食料などを入れる)『戸棚』,物置き,納戸(なんど) 
《まれ》(一般に読書・打ち合わせ,特に祈り・瞑想に用いる)小室,小部屋 
《古》便所 
…'を'私室に閉じ込める 
私室で使う(楽しむ)のにふさわしい",There is a skeleton in every closet.,どんな家にも内輪の悩みはあるものだ。
contraction,収縮,kənˈtrækʃən,a tightening or squeezing movement,"〈U〉〈C〉(…の)収縮,短縮《+『of』+『名』》 
〈U〉(通貨・資金・支出などの)縮小,節減《+『of』+『名』》 
〈U〉(いやなこと・よくないことを)身に負うこと,(悪習などが)身につくこと《+『of』+『名』》 
〈C〉陣痛",`won't' is a contraction of `will not',『won't』は『will not』の短縮である
coupon,割引券；申し込み用紙；回数券,ˈkuˌpɔn,a piece of paper that you can use to buy goods or to get them at a reduced price,"クーポン(切り取って使う切符) 
(広告・商品につく)景品引き換え券,優待券 
(公債の)利札(りふだ)",I have some coupons I got last week.,私、先週貰った割引券があるの。
cumulative,累積的な,ˈkjumjələtɪv,gets bigger by more and more being added to it,"しだいに増加する,累加する,累積的な","Over time such cumulative advantageous variations will bring about significant changes which will lead to the creation of a new species out of the old one.
","長い 期間 たつ と 、 こうした 累積 し た 有利 な 変異 は 、 古い 種 から の 新しい 種 の 創造 に 導く よう な 重大 な 変化 を もたらす だろ う 。
"
demolish,取り壊す；くつがえす；食い尽くす,dɪˈmɑlɪʃ,knock down; completely destroy,"〈古い建物など〉‘を'取り壊す,破壊する 
〈計画・制度など〉‘を'くつがえす 
《話》〈食べ物〉‘を'ぺろりと平らげる",The home team demolished the visitors,地元チームは、訪問した相手チームを倒した
dental,歯科用,ˈdɛntəl,relating to teeth,"歯の,歯科医の 
(音声が)歯音の 
歯音(など)",Yamada Dental Clinic provides a free consultation for those who are concerned about their teeth's alignment.,山田歯科では、歯並びが気になる方の無料相談を受け付けます
diploma,卒業証書；免許証；課程；公文書,dɪˈploʊmə,a document certifying the successful completion of a course of study,"(大学・専門学校などの)卒業証書,修了証書 
(一般に)免許状,特許状,賞状 
《複数形で》古文書",The 3rd graders made diplomas.,三年生が卒業証書づくりをした
disconnect,遮断する；接続を切る；関係を切る；相違,dɪskəˈnɛkt,cut off or detach,〈二者〉‘の'関係を絶つ;〈電話・電源など〉‘を'切る;(…から)…‘を'分離する《+『名』+『from』+『名』》,there were so many callers that he finally disconnected the telephone,あまりに多くの電話がかかってきたので、彼は最終的に電話を切った
drawback,"【名/C】不利,欠点,短所；障害,妨げ【名/U/C】払い戻し金",ˈdrɔˌbæk,the downside of something,"【名/C】(…の)障害,妨げ《+『to』+『名』》
不利,欠点,短所
【名/U/C】払い戻し金【C】関税の払い戻し",he pointed out all the drawbacks to my plan,彼は私の計画の全ての障害を指摘した
euro,【名/C】ユーロ；ユーロ債,ˈjuroʊ,a unit of money used in a number of European countries,"【名/C】ユーロ（2002年に流通が始まったEU共通通貨; €）
ユーロ債",I make 100 euros per day.,私は一日に100ユーロ稼ぎます。
excursion,"【名/C】（特定の目的をもった団体の）小旅行,遠足；（特別割引料金の）周遊旅行；出かけること；挑戦,試み",ɪkˈskɜrʒən,a journey taken for pleasure,"【名/C】（特定の目的をもった団体の）小旅行,遠足
（特別割引料金の）周遊旅行
（気晴らしに）出かけること
 （新しい分野・活動への）試み, 挑戦","If it rains tomorrow, there will be no excursion.",明日雨が降れば、遠足はありません。
firefighter,消防士,ˈfaɪrˌfaɪtər,someone whose job it is to put out fires or save people from dangerous situations,=fireman,"The main tool used by tobishoku was tobiguchi (a firefighter's hook), meaning that it is linked to machihikeshi or fire brigade (used when demolishing fire-spread houses), hashigonori or ladder-top performers (used when supporting the ladder) or kiyari or heavy load pullers (used when carrying the log).
","道具として代表的なものが鳶口でありこの事からも町火消（延焼家屋を曳き倒すときに使う）、梯子乗り（梯子を支えるのに使う）、木遣り（木をやりまわすのに必要）とは不可分であると言える。
"
firework,花火,ˈfaɪrˌwɜrk,"a small stick-like object that, when lit with a flame, goes off with a bang and flashes of colored light ","花火;花火大会 
(怒りなどの)爆発",They set off fireworks.,彼らは花火を打ち上げた。
fluent,"【形】（人が）流ちょうにしゃべれる,すらすら書くことができる；流ちょうに話された,すらすら書かれた；（言葉が）流ちょうな",ˈfluənt,able to speak a language easily and with confidence,"【形】（人が）流ちょうにしゃべれる,すらすら書くことができる
流ちょうに話された,すらすら書かれた(演奏された);(言葉が)流ちょうな",He is fluent in Chinese.,彼は中国語が流暢である。
folder,フォルダ；書類ばさみ,ˈfoʊldər,a file or covering to keep papers in,"紙ばさみ 
(印刷した1枚の紙を数ページに折り畳んだ)折り本;折り畳み広告,折り畳み時間表,折り畳み地図 
折り畳む人;(紙などの)折り畳み機",Two files will be created in the specified destination folder.,保存先に指定したフォルダに２つのファイルが作成されます
freelance,フリーランサー；自由契約の；フリーで働く,ˈfriˌlæns,"working for yourself, not for an employer  ",自由契約者(専属でない自由契約の寄稿家・記者・芸術家・俳優など),"A hacker can earn as much as $200 an hour (sometimes more) doing freelance consulting.
","フリー ラン ス の コンサルティング を やっ て 、 時給 200 ドル （ 時には それ 以上 ） も 稼げる ハッカー も い ます 。
"
garbage,ごみ,ˈgɑrbɪʤ,trash; something that is worthless,"(台所から出る)生ごみ,食べかす,残飯 
くだらないもの,がらくた",Moreover it's difficult to get rubbish out for garbage day because the collection time is too early.,しかし回収時間が早すぎるため、ゴミの日に出すことが難しいです。
handbook,手引書；入門書；旅行案内書,ˈhændˌbʊk,a book that gives intructions on how to do something,"手引き,便覧,学習書 
案内書,旅行案内","""Koyomi Binran"" (the Handbook of Japanese Calendar) explains 'it is because the sun reaches the most southern point and the daytime is the shortest.'
","『暦便覧』では「日南の限りを行て、日の短きの至りなれば也」と説明している。
"
hesitant,ためらいがちな,ˈhɛzɪtənt,hold back from acting because you are uncertain or undecided,"ちゅうちょする;(…を)ためらう《+about+名(doing)》 
口ごもる","This custom came about because of some instances in which a relatively elderly unmarried woman may be hesitant to wear furisode; in such instances, she would normally wear homongi (semi-formal kimono for women), but tomesode came to be worn in its place in order to give relatively modest appearance and the appearance of composure appropriate for her age.
","これは元々比較的高齢の未婚女性が振袖を着るのがためらわる場合など、こういうときは訪問着を着用するところを比較的控えなものにするため、年齢相応の落ち着きを表わすためということで未婚女性に着られるようになったという経緯がある。
"
hospitality,親切なもてなし；厚遇；もてなしの食事,ˌhɑspəˈtæləti,"welcoming, friendly behavior  you show to visitors or guests","〈U〉(客や他人に対する)『親切なもてなし』,歓待 
〈C〉もてなす心",I gave a bunch of roses to her in return for her hospitality.,私は彼女のもてなしのお返しにバラの花束を贈った。
humidity,湿度,hjuˈmɪdəti,how much dampness their is in the air,"湿気,湿度",I can't stand humidity.,私は湿気が我慢できない。
hygiene,衛生学; 健康法；衛生(状態)；清潔（に保つこと）,ˈhaɪˌʤin,how you keep yourself and your surroundings clean and so that you stay healthy,"衛生;衛生学,衛生法",The city instructs schools to ensure hygiene is maintained.,市は衛生が保たれるよう学校を指導しています
inclusive,包含的,ɪnˈklusɪv,includes everything,"『全部を含んだ』,包括的な 
《数詞などの後に用いて》(勘定などに)含めて,入れて(《略》『incl.』)","My total income is far short of 300,000 yen a month, inclusive of extra earnings.",私の総収入は臨時収入を入れても月３０万円にはるか及ばない。
induction,誘導,ɪnˈdʌkʃən,the act of being introduced into,"〈C〉《米》募兵 
〈C〉(聖職・公職などへの)就任,就任式 
〈U〉〈C〉(…を)引き起こすこと《+『to』+『名』》 
〈U〉(電気の)誘導 
〈U〉〈C〉(論理学・数学で)帰納,帰納法",This method is known as an electromagnetic induction type.,この方式を電磁誘導方式と呼びます
