英単語,訳,発音,英語の意味,解説,用例,用例・訳
urine,尿,ˈjɜrən,yellow liquid waste from the body,"尿,小便",What's the technical terminology for assisting someone to go to the toilet with a urine bottle?,尿瓶でおしっこするのを手伝ってあげることを専門用語でなんと言いますか？
usage,使用,ˈjusəʤ,the way something is used,"〈U〉(物の)『用い方』,用法 
〈C〉〈U〉(言語の)『慣用[法]』,語法","In the case of not agreeing to the conditions of the usage consent contract, promptly return the unopened media package to ABC for a full refund.",使用許諾契約書の条項に同意されない場合は、未開封のメディアパッケージを速やかにABC社に返送していただければ、商品代金を全額払い戻し致します。
valve,弁；バルブ,vælv,"a device along a pipe that can either open and allow something to flow, or close and block it","(液体・ガスなどの流れを調節する)『バルブ』,弁 
(血液の流れを調節する)弁,弁膜 
(管楽器の)バルブ 
(2枚貝の)から,貝がら 
《英》真空管",He verified that the valves were closed,彼は、弁が閉じられていることを確かめた
vegetation,植生,ˌvɛʤəˈteɪʃən,plants,"(ある地域の)植物 
《集合的に》植物,草木",even near the equator vegetation at 5000 ft is subtropical rather than tropical,赤道の近くでさえ、5000フィートの植生は、熱帯であるというよりはむしろ亜熱帯である
velocity,速度,vəˈlɑsəti,speed in a given direction,〈C〉速度,he checked the direction and velocity of the wind,彼は風向きと風速を調べた
vocabulary,語彙,voʊˈkæbjəˌlɛri,the words that a person knows,"〈C〉(特定の人・グループ・分野で用いられるすべての)『語彙』,用語 
〈C〉(アルファベット順に並べて語義や訳を付けた)語彙集,単語表(集) 
〈U〉(一言語の)全語彙",She has a rich vocabulary of English words.,彼女は英語の語いをたくさん知っている。
wheat,小麦,wit,a kind of grain that is used to make flour for bread,小麦,The whole family helped harvest the wheat.,家中が力を合わせて麦の刈入れをしました。
whereby,それによって～する,wɛrˈbaɪ,by which; by that thing,【副】《関係副詞》 …によって…するところの(according to which)；…の手段によって...するところの,"Knowing very well that his wife wanted to go to a movie, the husband, who was a dog in the manger, cooked up a scheme whereby they had to stay at home waiting for a certain visitor who was not expected to come.",女房が映画に行きたがっていることがよくわかったので、いじわるな亭主は一計を案じ、くるあてもない来客を家で待つことにした。
antiquity,古代；古代に作られたもの,ænˈtɪkwəti,an ancient period; something made a long time ago,"〈U〉古代(特に中世以前を指す);《集合的に》古代人 
〈U〉古さ,古風 
《複数形で》古代の遺物(遺跡,風習)","The greatest orator, save one, of antiquity, has left it on record that he always studied his adversary's case with as great, if not with still greater, intensity than even his own. 
","一 人 を 除け ば 古代 最大 の 雄弁 家 は 、 いつも 自分 の 場合 より もと は 言え ない まで も 、 同じ くらい の 熱心 さ で 、 ライバル の 事例 を 研究 し た と 記録 さ れ て い ます 。
"
binary,２つの；２進法の,ˈbaɪnəri,"having two parts; using only 2 numbers, 1 and 0","二つから成る,二つを含む;二元の,複の(dual) 
二進法による",the same source code can be compiled to produce different binaries for different operating systems,同じソースコードは、異なるオペレーティングシステム用の異なるバイナリを生じるためにコンパイルされる
chess,チェス,ʧɛs,"a game of strategy, for two players","チェス,西洋将棋",We played chess not so much to enjoy the game as just to kill time.,僕たちはゲームを楽しむためというよりただ暇をつぶすためにチェスをした。
chromosome,染色体,ˈkroʊməˌsoʊm,cell structures that carry the genetic material that is copied and passed to the next generation.,染色体,chromosomes are distributed by spindles in mitosis and meiosis,染色体は有糸分裂と減数分裂において紡錘体によって分配される
contour,輪郭,ˈkɑnˌtʊr,the shape of the outside edge of something,"〈C〉《しばしば複数形で》《単数扱い》(図形・体・物体などの)輪郭,外形;(言葉の)抑揚を表す線 
=contour line 
(土地の流失を防ぐため)等高線に沿って耕作する 
(体・物などの)輪郭にぴったりするように作られた 
〈道路〉'を'等高線に沿って建設する 
〈ある地域〉‘の'等高線を地図に記入する","the vague contour of Jay Gatsby had filled out to the substantiality of a man.
","ジェイ ・ ギャツビー という 輪郭 だけ の おぼろ な 人格 が 、 一 人 の 男 の 骨頂 で 満たさ れ た と いう わけ だ 。
"
coronary,冠状動脈,ˈkɔrəˌnɛri,concerning the heart,"冠状動脈の 
心臓の 
冠状動脈血栓(けっせん)症(coronary thrombosis)",coronary arteries,冠状動脈
corpus,集成；コーパス；体,ˈkɔrpəs,a body; in linguistics: a body of words,"(特定の事に関する,または特殊の性質の)文書資料の集成 
(研究用に収集した)資料",We created a freely available English-Japanese bilingual corpus.,一般に利用できる英日2言語コーパスを作成した。
deceive,【動/他】を欺く / をだます / を裏切る【動/自】欺く/人をだます,dɪˈsiv,to make someone believe something that is not true,"〈人〉'を'『欺く』,『だます』,裏切る 
欺く,人をだます",Thousands of people were deceived by the advertisement.,非常に沢山の人々がその広告にだまされた。
deflection,たわみ,deflection,the action of making something move in a different direction,"(進路などの)ふれ,偏り;(計器などの針の)ふれ,偏差","and this, when considered, must dissipate every thought of a deflection of the universe by the gods.
","そして この こと は 、 考え て みる と 、 神 々 による 宇宙 の 歪曲 という あらゆる 考え を 追い払う に ちがい あり ませ ん 。
"
denote,【動/他】を示す；を意味する；の記号である,dɪˈnoʊt,be a name or symbol for,"【動/他】…‘を'示す,表す;…‘の'記号である",two expressions are coreferent if they denote the same object or individual,2つの表現が同じ物または人を指す場合、それらは同一指示である
dialect,方言,ˈdaɪəˌlɛkt,a way of speaking a language that is used only in a particular area or by a particular group,"『方言』,なまり 
(ある階級・人種・職業などの)通り言葉",They were speaking in a Southern dialect.,彼らは南部の方言で話していた。
discrete,"【形】別個の,離散的な",dɪˈskrit,separate; composed of distinct parts,"別個の,個々の",a government with three discrete divisions,3つの独立した部門がある政府
encode,暗号化する,ɛnˈkoʊd,to change a message or information into code,…‘を'暗号化する,"As this analysis ends at 1993, it does not cover fansubs encoded in video files and distributed over the Internet, 
","本 分析 は 1993 年 まで を 対象 と し て おり 、 ビデオ ファイル に 組み込ま れ て インターネット で 配信 さ れ て いる ファン サブ は 扱っ て い ない 。
"
epidemiology,"【名/U】疫学,流行疫学",ˌɛpəˌdɛmiˈɑləʤi,the science of how diseases spread,"【名/U】《医療》疫学,流行疫学","Public health, Food hygiene, Environmental hygiene, Health administration, Epidemiology
","公衆衛生学、食品衛生学、環境衛生学、衛生行政学、疫学
"
facet,"【名】一面,側面,様相；（宝石の）小面；【動/他】（宝石）に小面を刻む.",ˈfæsət,a part of something,"(宝石・結晶などのなめらかな)面,切り子面 
(物事の)面(aspect)","--or only a glimpse of one facet of the truth.)
","―― と いう か 、 真実 の ごく 一 面 を ほんの かいま見 た に すぎ なかっ た こと を 知る の です が ） 。
"
fin,魚のひれ,fɪn,"the flat, thin body parts of a fish that sticks out and helps guide it through water","(魚などの)ひれ 
(形・働きが)ひれに似た物 
(飛行機の)垂直安定板 
《話》手,腕",ventral (or pelvic) fins correspond to the hind limbs of a quadruped,腹部（または骨盤の）ひれは、四足獣の後ろの手足と一致する
finite,有限の,ˈfaɪˌnaɪt,having limits; lasting for a limited time,"限りある,有限の 
=finite verb",assume that the topological space is finite dimensional,位相空間が有限次元であると仮定する
flux,流れ、流束,flʌks,a state of flow and change,"流動,流れ;上げ潮 
絶え間ない変化,流転(るてん) 
融剤,フラックス 
(流体・粒子・エネルギーの)流量,流束,流動率 
(電気・磁気の)束(そく) 
(体内の液体の)異常流出,異常排出","Pratyekabuddha' was translated as '縁覚' (which comprises 縁 [en]; pratyaya [indirect causes which assist direct causes] and 覚 ['kaku' or 'gaku' depending on a case]; to be awakened, to attain enlightenment]) in Buddhism because it is the one who perceives the principle of dependent origination through contemplation on juni-innen (十二因縁: the twelve-linked chain of causation [nidana] that lead from rebirth to death, seeing existence as an interrelated flux of transient events that occur in a series, one producing another), or who comes to attain enlightenment thanks to various ge-en (外縁: external and indirect causes which assist internal and direct causes).
","仏教では、十二因縁を観じて理法をさとり、あるいはさまざまな外縁によってさとるゆえに縁覚という。
"
friction,摩擦,ˈfrɪkʃən,the act of sliding two objects against each other,"〈U〉摩擦,こすること 
〈U〉〈C〉衝突,不和","That there are various conflicts, frictions, within the races of man is a point made clear within this book as well.",人種間には様々な葛藤、軋轢があることは、本書においても明らかにされているところである。
hepatitis,肝炎,ˌhɛpəˈtaɪtəs,"a disease of the liver that causes inflammation, yellow skin and a fever",肝[臓]炎,"Basic Act on Hepatitis Measures
","﻿肝炎対策基本法
"
induction,誘導,ɪnˈdʌkʃən,"bringing about, or causing","〈C〉《米》募兵 
〈C〉(聖職・公職などへの)就任,就任式 
〈U〉〈C〉(…を)引き起こすこと《+『to』+『名』》 
〈U〉(電気の)誘導 
〈U〉〈C〉(論理学・数学で)帰納,帰納法",This method is known as an electromagnetic induction type.,この方式を電磁誘導方式と呼びます
invert,反転する,ˈɪnvɜrt,to turn something upside down,"…‘を'逆さまにする 
〈順序・位置・関係など〉‘を'反対にする",Through the lens the image was inverted.,レンズを通ると像は逆になった。
irrigation,【名/U】灌漑（かんがい）；【医】洗浄,ˌɪrəˈgeɪʃən,supplying land with water using pipes,"潅漑(かんがい) 
(傷口などの)洗浄","Takaragaike Pond was built as an agricultural irrigation pond in the Edo period.
","宝ヶ池は江戸時代に農業用のため池として作られた人口池である。
"
liter,リットル,ˈlitər,metric unit for measuring liquid or gas,"リットル(メートル法の容量の単位《略》『l.,lit』)",This jar can hold two liters of hot water.,この瓶には２リットルのお湯が入る。
locus,軌跡,ˈloʊkəs,a place or location; in genetics: the location of a gene on a chromosome,"(法律用語で)場所,位置 
(数学で,点が描く)軌跡)","大化け (obake: big changing in the literal meaning): it's often the case that obake generally means phenomena whose size and effect have increased; Ancient Shinto, which is connected with Japanese folk belief, has a concept of value by which it is thought that the higher ranking divine spirits reside in bigger things, such as himorogi (temporarily erected sacred space or ""altar"" used as a locus of worship) and iwakura (dwelling place of a god, usually in reference to a large rock): a tree which has grown to a greater extent than others or a rock which is larger than others can be a house of (bakeru [change to]) the divine spirit.
","お化けには、大化けという表現があるように、総じて大きさや効果が増大する現象をいう場合が多いが、日本の民間信仰でもある古神道も、同様の価値観があり、大きいものほど宿る神霊の位が高いとする価値観があり、巨木や巨石を信仰するものとして、神籬（ひもろぎ）・磐座（いわくら）があり、大きく成長した木または、通常より大きい岩に神が宿る（化ける）とされる。
"
mentor,メンター,ˈmɛnˌtɔr,an experienced or wise person who teaches or helps another person,"指導者,師・（良き）助言者,顧問","He attracted many believers of a variety of rank, such as FUJIWARA no Akinobu, a son of FUJIWARA no Michinaga, who became a priest with Gyoen as his mentor.
","藤原道長の子藤原顕信が行円を師と仰いで出家するなど、貴賤を問わず多くの信者を集めた。
"
mercury,水銀,ˈmɜrkjəri,"a heavy, silver-white metal that is used in thermometers to measure temperature; a planet","〈U〉『水銀』(化学記号は『Hg』) 
《the~》(温度計・晴雨計の)『水銀柱』",variable filters in front of the mercury xenon lights,水銀キセノン・ライトの前の可変フィルタ
metabolism,代謝,məˈtæbəˌlɪzəm,the chemical processes of the body in which food is converted to energy,"新陳代謝,物質交代","""My metabolism is such that no matter how much I eat I don't put on weight."" ""Just now, this second, you've made enemies of people throughout the world.""",「いくら食べても太らない体質だから大丈夫だ」「今この瞬間世界中の人を敵に回したよ」
mole,ほくろ,moʊl,a small animal with dark fur that lives under the ground; a unit for measuring molecules,モグラ,I'm troubled by this mole.,このほくろに悩んでいます。
neuron,ニューロン,neuron,a nerve cell; the basic building block of the nervous system.,"神経単位,神経細胞,ニューロン,ノイロン","The Harakiri gene induces the death of neurons during cerebral ischemia and neurodegeneration in Altzheimers-type dementia.
","Harakiri遺伝子は、脳虚血時や、アルツハイマー型痴呆による神経変性時に、神経細胞の死をつかさどる。
"
notation,"【名/U】表記（法）【C】記号,符号；注釈；覚え書き",noʊˈteɪʃən,a set of written signs or shapes that are used in music or mathematics,"【名/U】《特殊な文字・符号などによる》表記（法）,記号法；表示（体系）
【名/C】《個々の》記号（符号）
注釈；メモ,覚え書き.","(Following the septal notation used in ancient Indian civilization, the period is defined in base 7.)
","（古代インド文明の七進法により、七ごとなのである。）
"
novice,"【名】新参者,初心者,未熟者；修練士；新信者；未勝利馬",ˈnɑvəs,"a person with little or no experience in a particular activity, skill, or subject","初心者,新米 
見習い修道士(女)","As Mr. Holohan was a novice in such delicate matters as the wording of bills and the disposing of items for a programme, Mrs. Kearney helped him.
","ホ ラ ハン 氏 は 演目 の 書き表し 方 や プログラム の 項目 の 配列 の よう な デリケート な 問題 に関して は 素人 な ので 、 カーニー 夫人 が 彼 を 助け た 。
"
onwards,前方へ,ˈɑnwərdz,forward,=onward,"Star Blazers arrived in the United States in 1978 (originally Space Battleship Yamato from 1974), followed by Robotech in 1985 (based on three series from 1982 onward).
","『 宇宙 戦艦 ヤマト 』 が アメリカ に 上陸 し た の は 1978 年 ( 日本 で は 1974 ) 、 続い て 1985 年 に Robotech が 登場 ( 1982 年 以降 の 3 つ の 番組 を 組み合わせ た もの ) 。
"
oscillation,振動,ˌɑsəˈleɪʃən,"movement, from side to side at a steady speed; a frequent change in size, strength, or direction between two limits","〈U〉振動;〈C〉(振動の)ひと振り 
〈U〉〈C〉(意見・信念などの)動揺,迷い","What boots it to tell of the long, long hours of horror more than mortal, during which I counted the rushing oscillations of the steel!
","鋼鉄 の 刃 の もの凄い 振動 を 数え て いる あいだ の 、 死 より も 恐ろしい 長い 長い 幾 時間 の こと を 、 話し た ところ で なん に なろ う ！ 　
"
partition,分割,pɑrˈtɪʃən,"a wall, screen, or piece of glass used to separate one area from another","〈U〉(…の)分割,区分《+『of』+『名』》 
〈C〉(分割された)部分 
〈C〉仕切り壁 
(…に)…‘を'分割する,分配する《+『名』+『into』+『名』》 
…‘を'仕切る,区切る《+『off』+『名,』+『名』+『off』》",The bullet penetrated the partition.,弾丸は仕切り壁を貫いた。
physiological,生理学的な,ˌfɪziəˈlɑʤɪkəl,concerning how the body functions,生理学上の;生理的な,he was elected a fellow of the American Physiological Association,彼はアメリカ生理学協会の特別会員に選ばれた
quiz,小テスト，小テストをする,kwɪz,a game in which players answer questions on a specific topic,"『小テスト』 
『クイズ』 
(…について)《人》‘に'質問する,試験する《+『名』《人》+『about』(『no』)+『名』》",I can make nothing of this quiz.,このクイズは全然分からない。
radius,半径,ˈreɪdiəs,a given area or a range around a certain point; a line from the center of a circle to its edge,"半径 
(行動・活動・能力なのどの)及ぶ範囲《+『of』+『名』》 
橈骨(とうこつ)(上腕の骨の一つ)","I have also examined every stable and outhouse in Tavistock, and for a radius of ten miles.'' 
","同時に タヴィストック を 中心 に 、 十 哩 の 円 を 描い て その 中 に ある 厩 という 厩 、 小 舎 という 小 舎 を ことごとく 調べ まし た 」
"
receptor,受容体,riˈsɛptər,a device that receives information; in physiology: a nerve ending that changes stimuli into impulses,"=sense organ 
受信装置",Researchers Identify New Receptor Complex in Brain,研究者は頭脳の新しい受容器の複合体を識別する。
repertoire,レパートリー,ˈrɛpərˌtwɑr,a collection of skills or accomplishments.,"上演目録,演奏曲目,レパートリー",Some species gradually develop elaborate repertoires of dozens or even hundreds of variants of a basic song.,いくつかの種は基本の歌に対する何十、いや何百もの変化形をもつ洗練されたレパートリーを次第に発展させていく。
respiratory,呼吸器の,ˈrɛspərəˌtɔri,to do with breathing,"呼吸の,呼吸作用の,呼吸のための",respiratory assistance,呼吸補助
scroll,スクロール,skroʊl,a long rolled piece of paper with writing on it; to move up and down a computer screen,"〈C〉(記録などを書きとめておくための羊皮紙,パピルス紙などの)巻物 
〈U〉〈C〉(いすのひじかけ・バイオリンなどの)渦巻き形模様(装飾)","shirts with stripes and scrolls and plaids in coral and apple-green and lavender and faint orange, and monograms of Indian blue.
","縞 模様 や 渦巻き 模様 や 格子 模様 が 珊瑚 色 やら 青 林檎 色 やら 薄紫 色 や ら 淡 橙色 や ら で 入り 、 インディアン ・ ブルー の 糸 で イニシャル が 刺繍 し て ある 。
"
secrete,隠す；分泌する,sɪˈkrit,to produce a liquid,〈ホルモン・樹液など〉‘を'分泌(ぶんぴつ)する,The money was secreted from his children,そのお金は、彼の子供が隠した
sensory,感覚の,ˈsɛnsəri,"referring to the five senses (hearing, sight, smell, taste and touch)",感覚の,sensory neurons,感覚ニューロン
solvent,溶剤,ˈsɑlvənt,something that dissolves or can melt another substance,"(借金の)支払い能力がある 
溶解力のある,溶かす 
溶剤,溶媒 
解決策","However, these solvents were identified as carcinogenic.",しかしながら、これらの溶剤は発がん性が指摘された。
sperm,精子,spɜrm,male sex cell,"〈C〉精子 
〈U〉精液",I had an artificial insemination with sperm from my husband.,配偶者間人工授精を受けました。
syllable,音節,ˈsɪləbəl,a unit of speech,"音節,シラブル 
《通例否定語と共に用いて》一言,一語",The accent of the word is on the second syllable.,その語のアクセントは第二音節にある。
terminology,用語,ˌtɜrmɪˈnɑləʤi,specific words and expressions used in a particular field,"術語,専門用語 
(特定の分野の)用語法",Each science has its own terminology.,独特の専門用語を持っている。
transcribe,"【動/他】を文字に起こす,発音記号で書き表す；書き写す；翻訳する；編曲する",trænˈskraɪb,to write something spoken,"…‘を'書き写す,複写する,タイプする 
〈速記・録音・記録など〉‘を'書き直す 
〈発音〉‘を'記号で書き表す 
(他国語文字に)…‘を'書き直す《+名+into+名》 
(他の楽器などのために)〈曲〉‘を'編曲する 
(後日放送するために)〈ラジオ番組など〉‘を'録音する","First, in order to get a feel for your favourite author's work, transcribe and copy in full.",先ずは憧れの作家の文章の呼吸をつかむためにひたすら筆写、丸写しをする。
vector,【名/C】ベクトル；方向量,ˈvɛktər,a quantity that has both size and direction.,"(数学で)ベクトル,方向量 
(ハエ・カなどの)病原媒介昆虫 
(飛行機,ミサイルなどの)脱路,軌道",mosquitos are vectors of malaria and yellow fever,蚊はマラリアと黄熱病の媒介物である
yeast,"【名/U】酵母,イースト",jist,a single-celled fungi used to make bread and beer,"イースト,酵母(パン種・ビール醸造用などに使う)","The skin of Joyo manju (steamed yeast bun with filling) such as 'Oribe Manju' is made of grated yamaimo with sugar and joyo-ko (fine grade wheat flour).
","「織部まんじゅう」など上用饅頭の皮は、山芋をすりおろして砂糖と上用粉（細目の米粉）をくわえたもの。
"
amino,【名/U】アミノ酸,əˈminoʊ,a substance that combines to form the structure of proteins,【名/U】アミノ酸,proteins are composed of various proportions of about 20 common amino acids,タンパク質は約20の一般的なアミノ酸の様々な比率で成り立つ
artifact,工芸品；人工遺物,ˈɑrtəˌfækt,"object made by humans, e.g. ancient tool","(天然物と区別して)人工物,加工品;(特に)古代人が使った道具(武器,装飾品)",artifacts suggestive of an ancient society,古代社会を示唆させる人工遺跡
bilingual,【形】2つの言語を話す；【名】2か国語を話せる人,baɪˈlɪŋgwəl,being able to speak two languages well,"2つの言語を話す,母国語と同じように外国語を話す 
(書籍など)2か国語で表された(書かれた) 
2か国語を話せる人","With an American father and a French mother, she is bilingual.",アメリカ人の父親とフランス人の母親を持つので、彼女は２カ国語を話せる。
chemotherapy,化学療法,ˌkimoʊˈθɛrəpi,"the treatment of diseases, such as cancer, using chemicals",化学療法,He safely completed a six-month chemotherapy treatment yesterday.,彼が昨日、無事に半年の抗がん剤治療を終えました
confound,【動/他】を混乱させる；を困惑させる；を混同する《with》；を破る,kɑnˈfaʊnd,"to confuse and greatly surprise someone, so that they are unable to explain a situation","〈情況など〉'を'『混乱させる』,〈人〉'を'困惑させる,面くらわせる 
(…と)…'を'『混同する』《+『名』+『with』+『名』》 
〈計画・希望・敵など〉'を'破る,くじく(defeat) 
《遠回しに腹立たしさなどを表して》〈神〉が…'を'地獄に落とす",a cloudy and confounded philosopher,あいまいで困惑した哲学者
dissection,切開,daɪˈsɛkʃən,the act or process of cutting something,"〈U〉〈C〉(実験・研究のための)解剖,解体 
〈C〉実験用解剖体,解剖模型 
〈U〉詳細な分析","The 'Geshin Jigoku' (Hell of Dissections) of ""Shamon Jigoku zoshi"" (Stories of Hell for Buddhist Priests) possessed by MIHO MUSEUM (Koga City, Shiga Prefecture) describes endless hell; a monk who had killed and had eaten an animal went to the hell where the monk was killed and chopped and eaten by oni (ogre).
","MIHOMUSEUM（滋賀県甲賀市）蔵の『沙門地獄草紙』の「解身地獄」は動物を殺し、食した僧が墜ちる地獄で、僧が切り刻まれ、鬼に食われるという、延々と続く地獄を表している。
"
dissertation,論文,ˌdɪsərˈteɪʃən,an in-depth paper submitted for a doctorate degree,"〈C〉学位(博士)論文;論文,論説","the dissertation was entitled, modestly, `Remarks about a play by Shakespeare'",論文は、控え目に、『シェークスピアによる劇についての論評』という題名をつけられた
entrant,参加者,ˈɛntrənt,a person who enters a contest,"(競技などの)参加者《+『for』+『名』》 
(…の)新会員,新入生,新入者,(新しい識務などに)つく人《+『to』(『into』)+『名』》","Later, after the observation tour to Europe, he became a candidate of the Rikken seiyukai party in a local electoral district of Niigata Prefecture, when the 7th general election for the members of the House of Representatives was held in 1902, and from then, he was elected 5 times consecutively (In the 11th general election for the members of the House of Representatives, he changed the constituency and he filed his candidacy in Maebashi City, Gunma Prefecture to become a successful entrant, and for a while he was a member of Chuseikai party.)
","その後、欧州視察を経て、明治35年（1902年）の第7回衆議院議員総選挙において新潟県郡部区より立憲政友会から立候補して初当選、以後5回連続で当選を果たした（第11回衆議院議員総選挙では群馬県前橋市区に選挙区を移して当選、また一時中正会に籍を置く）。
"
fetal,【形】胎児の,ˈfitəl,"concerning a fetus, an unborn baby",【形】胎児の,fetal development,胎児の発育
gradient,"【名/C】(道路･線路などの)傾斜(の角度),勾配；(気温･気圧などの)勾配,変化量[率]",ˈgreɪdiənt,a measure of how steep something is,"(道路・鉄道などの)勾配(こうばい),傾斜度,グラジエント・斜面",the movement of a solute down its concentration gradient is called diffusion,溶質の濃度傾斜の下部方向への移動は拡散といわれる
grammatical,文法の,grəˈmætəkəl,concerning grammatical rules,"《名詞の前にのみ用いて》文法上の 
文法にかなった",He made a few grammatical mistakes.,彼は２、３の文法上の誤りを犯した。
infinity,無限,ɪnˈfɪnəti,with out end; limitless,"〈U〉無限であること 
〈C〉無限なもの,無限の空間(時間) 
〈C〉ばく大な量(数) 
〈C〉(数学で)無限大(記号∞)","It had not moved, but its eyes were now electric sparks, radiating an infinity of luminous needles.
","動い て は い なかっ た が 、 その 眼 は いまや 電光 を 帯び 、 無数 の 輝く 針 を 放射 し て い た 。
"
innate,生まれつきの,ɪˈneɪt,present in a person or animal from the time of birth,"生まれつきの,生得の(inborn) 
本質的な",The instinct for survival is innate.,生きようという本能は誰にも生まれつきそなわっている。
longitudinal,縦方向の,ˌlɑnʤəˈtudənəl,going from the top to the bottom of something,"経度の 
長さの;縦の",a longitudinal study of twins,長期の双子の研究
marrow,骨髄,ˈmɛroʊ,"a soft, fatty tissue inside bones","髄(ずい),骨髄 
精髄,粋 
力,活力","""I'm a man to the marrow, and haven't the idea of breaking my own promises; mark that!""
","受け合っ た 事 を 裏 へ 廻っ て 反古 （ ほ ご ） に する よう な さもしい 了見 （ りょうけん ） は もっ てる もん か 。
"
millimeter,ミリメートル,ˈmɪləˌmitər,1/1000th of a meter,ミリメートル(1メートルの1000分の1),"The thickness is two to three millimeters.
","板厚は2～3ミリメートル。
"
morphological,"【形】形態学的な,形態学の；形態上の,形態的な",ˌmɔrfəˈlɑʤɪkəl,the study of form and structure,"【形】《生物》形態学的な,形態学の；《文法》形態上の,形態的な",the morphological relation between `sing' and `singer' and `song' is derivational,『sing（歌うこと）』と『singer（歌手）』と『song（歌）』は形態的な派生関係である
morphology,形態学,mɔrˈfɑləʤi,"the study of the forms and structures of plants, animals and words","形態学(生物の構造の研究) 
形態論,語形論(言語の形態の研究)","Morphology
","形態
"
neural,神経の,ˈnʊrəl,about the nerves or nervous system,神経[系統]の,there was a disturbance of neural function,神経器官に障害があった
null,無効の,nʌl,having no impact,"(法律上)無効の,効力のない 
ゼロの,無価値の 
(数学で集合が)空(から)の",How is Null expressed as a regular expression?,正規表現で空白はどのように表されるのでしょうか？
optimum,最適な,ˈɑptəməm,the best or most desirable,"【名/C】(成長のための)最適の条件(水準)  (また『optimal』)
【形】(比較変化なし)《名紙の前にのみ用いて》最適の,最高の,最上の","We may only find a local optimum rather than the global, but even that is a step in the right direction.
","わたし たち に 見つけ られる の は 絶対 的 で は なく て 近似 的 な 解 に すぎ ない かも しれ ませ ん が 、 それでも それ は 正しい 方向 へ の 進歩 です 。
"
phenomenal,驚異的な,fəˈnɑmənəl,"unusual, remarkable","自然現象の(に関する) 
並みはずれた,驚異的な 
知覚できる",He lifted the car with his phenomenal strength.,彼は驚異的な力で自動車を持ち上げた。
phosphate,リン酸塩,ˈfɑsfeɪt,a salt or compound used to help grown plants,"〈U〉リン酸塩 
《複数形で》リン酸肥料","218. Sodium Starch Phosphate
","二百十八　デンプンリン酸エステルナトリウム
"
potassium,カリウム,pəˈtæsiəm,"a common, soft, silvery white metal that is usually used for farming or industrial purposes","ポタシウム,カリウム(金属元素;化学記号はK)","Ashes were spread in farms as a potassium-rich fertilizer
","灰はカリウム肥料として田畑に入れられた。
"
primer,入門書,ˈpraɪmər,a book that covers the basics of a subject; a kind of paint,"〈C〉雷管,導火線 
〈U〉〈C〉下塗り塗料","It is a primer of Mahayana
","大乗の初門。
"
proton,陽子,ˈproʊˌtɑn,a very small part of an atom that has a positive electrical charge,"プロトン,陽子(素粒子の一つ)",The solar wind protons must sputter away the surface atoms of the dust,太陽風の陽子は、原子の表面の塵を跳ね飛ばさなければならない
soluble,水溶性,ˈsɑljəbəl,"can be mixed with a liquid, e.g. salt is soluble in water","溶解できる 
解決できる","Soluble uranium compounds are more readily absorbed than those which are insoluble. 
","可溶性 ウラン 化合 物 は 不溶性 の もの に 比べ て 容易 に 吸収 さ れる 。
"
substrate,"【名/C】基層；基板；基質；回路基盤；隠れた特質；基礎,土台",ˈsʌbˌstreɪt,a substance which a catalyst or enzyme has an effect on,"【名/C】《地表などの》下層,基層
基質；回路基盤；基板
《かたく》 隠れた特質
基礎,土台",It has high gibberellin activity and a high substrate conversion.,それが高いジベレリン活性並びに高基質変換機能を有する
subtract,減算する,səbˈtrækt,"to take away, e.g. 20 - 5 = 15","(数字などについて)(…から)…を『引く』,減じる《+名+from+名》 
引き算をする","from which number I subtract thirty thousand couple, who are able to maintain their own children,
","この うち 三万 組 は 、 自分 の 子供 を 育て られる 者 として 勘定 に 入れ ない 。
"
syllabus,概要、学習指導計画,ˈsɪləbəs,the teaching schedule for a course in a school or university,"(講義などの)要項,概要 
(学期・学年などの)学習指導計画","He removed all subjects other than Confucianism and Shintoism from the syllabus, and contributed to the development of neo-Confucianism and the promotion of Confucianism as the learning of government.
","学問上では、儒学・神道以外の全てを排し、朱子学の発展、儒学の官学化に貢献した。
"
trajectory,弾道,trəˈʤɛktəri,the path followed by an object moving through space,"(ミサイルなどの描く)弾道,軌道,曲線","The first ryuto appears and wafts about 327-436 meters and after that the second one appears and wafts following the trajectory of the first one.
","1個目の龍燈が現れて3,4町（約327-436メートル）ほど宙を漂った後、2個目の龍燈が現れ、1個目の軌跡を沿って宙を漂うという。
"
transparency,透明,trænˈspɛrənsi,the amount you can see through something,"〈U〉透明 
透明なもの,(特に)スライド[写真]","The achievements made on this level, over the last years, provide a firm base to achieve more in order to realize the highest degrees of transparency, control and accountability as well as the reevaluation of the cadres in our ministries and institutions with the aim of development and the achievement of the principle of equal opportunities and justice. 
","この レベル における 成果 は 、 ここ 数 年 にわたって 、 高度 の 透明 性 と 統制 、 および 説明 責任 、 同時に 我々 の 内閣 と 組織 における 幹部 の 再 評価 を 発展 の 意図 や 機会 均等 および 公正 の 原則 の 達成 を 伴っ て 実現 する べく 、 より 多く を 成し遂げる ため の 確固たる 基盤 を 提供 し て い ます 。
"
vowel,母音,ˈvaʊəl,"a speech sound; a, e , i, o, u and sometimes y","母音 
《話》母音字 
母音の","to mark plurality, one language may add an extra syllable to the word whereas another may simply change the vowel in the existing final syllable",多数を記録するために、1つの言語が余分な音節をその単語に追加するかもしれないが、別のものは単に既存の最終的な音節の母音を変えるかもしれない
