英単語,訳,発音,英語の意味,解説,用例,用例・訳
welfare,幸福；福祉,ˈwɛlˌfɛr,program for poor or unemployed people help living,"『幸福』,繁栄 
『福祉』[事業],厚生[事業] 
(米政府の)生活保護",She attended the lecture on social welfare.,彼女は社会福祉についての講演に出席した。
whisper,ささやく,ˈwɪspər,To talk with breath but no voice,"『ささやく』,ひそひそ話す《+about+名》 
〈風・流れ・木の葉などが〉サラサラ音を立てる 
…‘を'『ささやく』,ひそひそと言う 
《しばしば受動態で》〈秘密など〉‘を'言いふらす《+about+名》 
『ささやき』,ささやかれた言葉 
《単数形で》(風・流れなどの)サラサラいう音 
うわさ,ひそひそ話","Don't whisper, let alone speak.",小さな声でも話すな。まして、大きな声で話すなど、もってのほかだ。
withdraw,撤回する；引き出す,wɪðˈdrɔ,Pull back; move away or backward from something,"(…から)…‘を'『引っ込める』《+名+from+名》 
(…から)…‘の'身を引かせる,‘を'退かせる《+名+from+名》 
(…から)…‘を'引き出す,回収する《+名+from+名》 
〈申し出・約束など〉‘を'取り消す,撤回する 
『引き下がる』;(…から,…へ)退く《+from(into)+名》 
(…から)身を引く《+from+名(doing)》 
よける,身をかわす 
取り消す,撤回する",She intended to withdraw all her savings from the bank.,彼女は銀行から貯金を全部おろすつもりだった。
yield,"【動/他】を産出する；を明け渡す【動/自】《...に》屈する《to》；降伏する,譲る【名/C/U】産出（高）,収穫（高）",jild,To give way to someone or something else,"…‘を'『産出する』,生ずる(produce);〈利益など〉‘を'生む 
(圧迫・強制などによって)(…に)…‘を'『明け渡す』,放棄する《+up+名(+名+up)+to+名》 
…‘を'譲る,与える 
〈自分〉‘の'身を任せる 
〈土地が〉『作物ができてる』 
(…に)『屈する』,負ける,従う;(…に)応ずる,譲歩する《+to+名》 
(圧力・力などによって)動く,開く,曲がる,へこむ,壊れる《+to+名》 
〈U〉〈C〉産出[高],収穫[高]",You must not yield to temptation.,誘惑に負けてはいけない。
youth,青年時代；若さ；若者,juθ,When you are young ; a young person,"〈U〉『若さ』,年の若いこと;若々しさ,元気 
〈U〉『青年時代』,青春[期];(時代などの)初期 
〈C〉《しばしば軽べつして》『青年』,若者,(特に)若い男 
〈U〉《集合的に》《単数・複数扱い》《文》青年,若者たち(young people)","We are concerned about the further actualization of current problems among youth, such as truancy, dislike of school and lack of appropriate character development.",非行、学校嫌い、人格の未発達などの問題が現在以上に顕在化してくることが懸念される。
zone,地帯,zoʊn,area of space used for a particular reason,"(何らかの目的・特徴などによって他の地域と区別された)『地帯』,地域,地区(belt, area) 
(気候によって地球を大別した)帯(たい) 
《米》(交通・郵便などの)同一料金区域;(郵便番号で分けた)郵便区 
(環状の)ベルト,輪,帯 
…‘を'地帯(地区)に分ける 
(…の目的に)〈地域〉‘を'区画規制する《+名+as(for)+名》 
…‘を'帯で巻く,‘に'帯印をつける",Plans for a new trade zone are still on the drawing board.,新しい貿易区域の計画はまだ実施の段階にありません。
accord,一致する,əˈkɔrd,agreement or harmony,"(…と)『一致する』,調和する《+『with』+『名』(『wh-』節)》 
〈許可・賞賛・歓迎など〉'を'与える 
〈U〉(…との)『一致』,調和(harmony)《+『with』+『名』》 
〈C〉国際協定,講和 
〈U〉〈C〉和音,協和音;(色の)調和",She did the dishes of her own accord.,彼女は自発的に皿洗いをした。
grammar,文法,ˈgræmər,rules explaining how words are used in a language,"〈U〉(学問・学科としての,言語が持っている)『文法』;〈C〉文法書 
〈U〉(文法的に正しい)言葉遺い,語法","Omission is a perfectly good example of an expression technique, and is brought up in many grammar books.",省略は立派な表現技法の一つであり、多くの文法書でも紹介されています。
nowadays,最近は,ˈnaʊəˌdeɪz,At the present time; now,"(特に過去と比べて)『今日では』,このごろは",Divorce is becoming more common nowadays.,離婚は現代ではますますありふれたものになりつつある。
verb,動詞,vɜrb,word that expresses an action or state,『動詞』,A sentence normally has a subject and a verb.,文には普通、主語と動詞がある。
noun,名詞,naʊn,the subject or object of a sentence,『名詞』,"Suffixes, 1: ""-ion"" creates nouns that show the meaning of 'action, state, process, results,' and so on.",接尾辞について、１：【-ion】「行動、状態、過程、結果」などの意を表す名詞を作る。
trillion,兆,ˈtrɪljən,"1,000,000,000,000",(アメリカ・フランスでは)兆(1に0を12つけた数);(イギリス・ドイツでは)100京(1に0を18つけた数),How does it happen that you were not eaten up with all those hundreds and trillions of cats?,おまえはどうして、百匹のねこ、千匹のねこ、百万匹、一億、一兆匹のねこといっしょに、食べられてしまわなかったのだね。？
attach,取り付ける；添付する,əˈtæʧ,To be associated or connected with,"(…に)…'を'『つける』,『取りつける』,はりつける《+『名』+『to』+『名』》 
(…に)…'を'所属させる,付属させる《+『名』+『to』+『名』》 
(…に)〈サインなど〉'を'添える《+『名』+『to』+『名』》 
(…に)〈重要性・意味など〉'を'置く,帰する《+『名』+『to』+『名』》 
(法律用語で)…'を'逮捕する;…'を'差し押える 
(…に)付着する,所属する(belong)《+『to』+『名』》","When attaching a polarizing plate, set it first and then attach a protective plate (a clear acrylic plate).",偏光板の時は、まず偏光板をつけ上に保護板（透明アクリル板）をつけセットします。
quadrillion,千兆,quadrillion,number that is represented as a one followed by 24 zeros,"《米》千兆,(one thousand trillion) 
《英》100万の4乗,(one trillion trillion)","That seems like a pretty small number, but when you're searching through 72,057,594,037,927,936 keys (256 keys, or 72 quadrillion keys), you need all the help you can get.
","これ は かなり 小さい 数 に 思える けれど 、 なにせ 今 は 2 , 057 , 594 , 037 , 927 , 936 個 の 鍵 ( 256 の 鍵 、 または 7 . 2 京 の 鍵 ） を 探し て いる ので 、 もっと もっと 手助け が 要る 。
"
a,一つの,eɪ,One (of something),"〈C〉英語アルファベットの第1字 
〈U〉(音階の)イ音,イ調 
〈C〉《米》(学校の成績の)A",He was wearing a threadbare suit.,彼はくたくたの背広を着ていた。
ad,【名/C】｟くだけて｠ 広告,æd,public notice or advertisement,《話》広告(advertisementの略),He ran an ad in the paper.,彼は新聞に広告を載せた。
band,バンド； 楽団,bænd,group of people who work together e.g. play music,"『帯』,『バンド』,ひも,(おけの)たが 
(色の)すじ,しま 
周波数 
…‘に'バンドを付ける","I belong to the brass band, and so does my brother.",私はブラスバンドに入っています。弟もそうです。
honor,名誉,ˈɑnər,Respect given to someone who is admired,"〈U〉(自分の信念・行為に対する)道義心,誠実,高潔 
〈U〉(人から受ける)『尊敬』,信用 
〈U〉(広く世間から受ける)『名誉』,栄光,名声 
〈C〉《単数形で》名誉になる物(事,人),誉れ 
《H-》閣下(判事・市長などに対する敬称) 
〈C〉《複数形で》儀礼 
〈C〉《複数形で》(学校などの)優等 
〈C〉《複数形で》褒章,名誉賞 
〈C〉《複数形で》(カードゲームの)最高の役礼 
…‘を'『尊敬する』 
〈人〉‘に'『名誉』(『光栄』)『を与える』 
〈手形など〉‘を'引き受ける,支払う",She graduated with honors.,彼女は優秀な成績で卒業した。
minister,大臣,ˈmɪnəstər,an official who heads a government department,"『聖職者』,牧師 
(英国・欧州諸国・日本の)『大臣』 
(…駐在)『公使』(大使(ambassador)の次の位で,大使が派遣されていない国において自国政府を代表する)《+『to』+『名』》 
(人の)面倒を見る,(…に)尽くす,仕える《+『to』+『名』》",The dismissal of foreign minister Tanaka is symbolic of the continuing political turmoil.,田中前外相の更迭に続く政治混乱がその象徴である。
odd,奇妙な,ɑd,Being unexpected and different; out of the ordinary,"『奇妙な』,風変りな,変な 
《名詞の前にのみ用いて》(対・組のうちの)『片方の』,はんぱの 
(一定数量を対・組などに分けた)『余分の』,残りの 
《名詞の前にのみ用いて》臨時の,時たまの,不定期の 
『奇数の』 
《しばしば整数とハイフンで結ばれて》…あまりの,端数の",I find her opinions odd but interesting.,彼女の意見は変わっているが面白いと思う。
or,あるいは；すなわち；そうでなければ,ɔr,"Used to link alternatives, to introduce another choice","《選択を表し,語句・節を結んで》《肯定文・疑問文で》…『または』…,…か… 
《否定文で》…も…もない 
《命令的表現の後で》『さもないと』 
《前出の語を言い換えたり説明したりして》『すなわち』,言い換えれば","Because an average person doesn't need 3D, or high whatchacallit speeds.",普通の人は、３Ｄだとか高速でうんたらだとか必要としないですからね。
bedroom,寝室,ˈbɛˌdrum,"room with a bed, for sleeping in",『寝室』;(列車内の)寝室,He came downstairs out of the bedroom for breakfast.,彼は寝室から朝食に降りてきた。
forever,永遠に,fəˈrɛvər,For a very long or seemingly endless time,"『永久に』,永遠に 
常に,絶えず","A good book is the best of friends, the same today and forever.",良書は最良の友であり、今日も今後も永久に同じである。
online,オンラインの,ˈɔnˌlaɪn,connected to the internet,オンラインの(端末が親コンピューターに直接つながっていること),I'm not good at posting stuff online.,カキコ苦手なんです。
shareholder,株主,ˈʃɛrˌhoʊldər,Someone who holds shares of stock in a corporation,株主,shareholders don't want the company playing musical chairs with their investment,株主は会社に彼らの投資で椅子取りゲームをして遊んでほしくない
weekend,週末,ˈwiˌkɛnd,Saturday and Sunday,"『週末』(通例金曜日の夕方から日曜日の夜まで);週末休暇 
週末の 
《状態・場所を表す副詞[句]を伴って》週末を過ごす;週末旅行をする","Would you like to go out with me this weekend, Rumiko?",留美子さん、この週末にボクとデートしてくれませんか。
development,発達；開発,dɪˈvɛləpmənt,act or process of growing bigger or more advanced,"〈U〉〈C〉『発達』,発展,発育,成長;『開発』;進化 
〈U〉(写真の)現像 
〈C〉発達(発展)の結果できたもの 
〈C〉開発した土地(地区);(特に)住宅団地(housing development) 
〈C〉(最近の)でき事,新事実","""Software development"" isn't ""manufacture"".",「ソフトウェア開発」は「モノ作り」ではない。
due,期日の； 満期の,du,when something is required or expected,"《補語にのみ用いて》(負債などが)『支払われるべき』,支払期日が来ている,満期の 
《補語にのみ用いて》(敬意・考慮・金などが)(…に)当然払われるべき,与えられるべき《+『to』+『名』》 
《名詞の前にのみ用いて》『当然の』,適当な,十分な 
《補語にのみ用いて》《時を表す副詞[句]を伴って》(列車などが)『到着する予定で』 
まさしく,真に 
《通例単数形で》当然受けるべきもの 
《複数形で》税金,料金,手数料,会費","These solvents, due to their volatility, evaporate into the atmosphere when used.",これらの溶剤は、揮発性のため、使用時に蒸発し大気に放出されている。
education,教育,ˌɛʤəˈkeɪʃən,process of giving or receiving teaching,"(一般に)『教育』 
(身につけた)教育,教養,知識 
教育学,教授法","People who want to put out an ezine on education, come this way!",教育のメルマガを発行したい方はこちら！
eleven,11,ɪˈlɛvən,11,"〈C〉(数の)『11』;11を表す記号(11,XIなど) 
〈U〉11時;11歳 
〈U〉《複数扱い》11人,11個 
〈U〉《単数扱い》(フットボールのチームなどの)11人(11個)一組 
『11の』,11人の,11個の 
《補語にのみ用いて》11歳の","I have an appointment at eleven tomorrow, but can I change the time?",明日の１１時に予約をしてありますが、時間を変更できますか。
end,終わり,ɛnd,A point that marks the limit of something; finish,"(細いものの)『端』,先端《+『of』+『名』》 
(物語などの)『終り』,終結部《+『of』+『名』》 
(物事・期間の)『最後』《+『of』+『名』》;(…に)結末をつけるもの《+『to』+『名』》 
(…の)端の部分,末端部《『of』+『名』》 
《しばしば複数形で》『目的』(purpose),目標(aim) 
《遠回しに》死,滅亡 
《しばしば複数形で》切れ端,くず,残りもの 
(事業などの)部門(part) 
(フットボールで)エンド)前衛両端の選手または位置) 
…‘を'『終わらせる』,終える 
〈物事が〉…‘の'終りとなる,‘を'締めくくる 
『終わる』,終了する(come to an end)",In the end the bill was forced into being withdrawn.,結局、法案は提出断念に追い込まれたのだった。
fellow,仲間,ˈfɛloʊ,belonging to the same group,"《話》『男』,『やつ』 
《話》(一般に)『人』,だれしも(anybody) 
《通例複数形で》『仲間』,同僚(comrade, companion) 
(学会などの)会員(member) 
《英》大学の評議員(理事),《米》(大学の)特別研究員(給費(fellowship)を受けて研究に従事する大学 
院生,研究員) 
(一対の物の)片方,相手(match, mate) 
『仲間同士の』,同類の,同業の",He is a mean fellow.,彼は卑劣なやつです。
first,一番最初の,fɜrst,Coming before all others in time or place,"(順序・時間的に)『第1の』,1番目の;最初の 
(階級・等級・重要度などが)『1番の』,第一級の,首席の,最も重要な 
『最初に』,まっ先に;1番目に,第1位に;初めて 
(…するくらいなら)むしろ,いっそ(…のほうがいい)(rather, sooner) 
《通例the~》『最初のもの』;(月の)第1日;(時代の)第1年 
《通例the~》初め,始まり 
〈U〉ファーストギヤ,低速ギヤ 
〈C〉《英》(競技などの)第1位,1等(試験の)第一級 
《複数形で》最高級品,一級品 
〈U〉=first base","""You'll get your clothes dirty."" ""No worries. They weren't very clean in the first place.""",「服汚れるでしょ」「それはノープロブレム。もともとあんまり綺麗じゃないし」
for,～のために；～に向かって；～にとって；～に関して；～に賛成して；～の代わりに；～だから,fɔr,"Used to show the purpose, or need of something","《時間・距離》『…の間』 
《利益・貢献》『…のために』 
《適応・用途》『…向きの(に);』…用の(に);…のための(に) 
《目的・意向》『…のために,』に 
《敬意・記念》『…のために;』…を記念して 
《獲得・追求》『…を得るために』,を求めて 
《行く先・方向》『…あてに;』…[方面]行きの,に向けて 
《交換・報償など》『…に対して』;…と引き換えに;…のお返しに 
《原因・理由》『…のために』,なので 
《代理・代表》『…の代わりに;』…を代表して 
《形容詞の後に用いて》『…にとって,』には 
《比較級の後に用いて》『…の結果として,』…のために 
《対比》『…としては,』のわりには 
《関連》『…について,』の点では 
《資格・属性》『…として』 
《賛成・支持》…『に賛成して』,を支持して 
《傾向・好み》…『に対する』,には 
《模倣》《おもに米》《英文》…の名を取って(after) 
《割合》…に対して 
《『for』+『名』〈人〉+『to』 doの形で,〈人〉が不定詞to doの意味上の主語を表して》…が(…することは,…するために) 
[…というのは]…だから","""This is what I was looking for!"" he exclaimed.",「これが探していたものだ」と彼は叫んだ。
friend,友だち,frɛnd,person who you like and enjoy being with,"〈C〉友人,友だち 
〈C〉味方,支持者 
〈C〉役に立つもりの 
〈C〉《F-》フレンド派(Society of Friends)の人,クエーカー教徒(Quaker) 
《丁重な呼びかけ》友よ",I was overjoyed when I was able to make friends with her!,彼女と友達になれた時は、それはうれしかったですよ。
fun,楽しい,fʌn,amusing and enjoyable,"『楽しみ』,慰み 
戯れ,ふざけ 
愉快な気持ちにさせるもの(人)",Playing baseball is fun.,野球をするのは楽しい。
giant,巨大な,ˈʤaɪənt,"Extremely big, or much bigger than other things","『大男』;(物語・伝説の)『巨人』 
『大人物』,偉人 
『巨大な物』 
巨大な,ものすごく大きい",The giant plane screamed down in an almost vertical dive.,その大型機は鋭い音を立ててほとんど直角に降下した。
gray,灰色の,greɪ,Color between black and white (also spelled grey),"『灰色の』,ねずみ色の,鉛色の 
(顔色が)青白い(pale) 
(空が)曇った 
(気持ちなどが)陰気な,寂しい(gloomy) 
しらがの多い 
〈U〉『灰色』,ねずみ色,鉛色 
〈U〉灰色の服 
〈C〉灰色の絵の具,灰色の染料 
《gray,grey》《米》(南北戦争当時の)南軍兵士 
…‘を'灰色にする 
灰色(白髪)になる",His shirt was gray and the tie was yellow.,彼のシャツは灰色でネクタイは黄色だった。
great,すばらしい,greɪt,Very good; fantastic; wonderful,"(規模・範囲などが)『大きい』,巨大な 
『多数の』;『多量の』 
『偉大な』,すぐれた;《the Great》《称号・肩書に用いて》 
(身分・地位などの)高い 
気高い,崇高な 
《名詞の前にのみ用いて》重要な,重大な 
《人を表す名詞の前にのみ用いて》大の,たいへんな 
《話》すてきな,すばらしい 
《名詞的に》《the great》偉大な人たち,重要人物 
とても,すごく 
とてもよく(very well) 
大物,花形",At that instant it exploded with a great noise.,その瞬間、大音響とともに爆発した。
half,半分,hæf,the part you get when one is divided into two; ½,"〈C〉〈U〉『半分』,2分の1;約半分 
〈U〉《時刻を表す数詞と共に用いて》『半』,30分 
〈C〉《おもに英》(2学期制の学校での)前(後)期 
〈C〉(競技などの)前(後)半;(野球で1イニングの)表(裏) 
〈C〉=halfback 
『半分の』 
不十分な,中途はんぱな 
『半ば』,半分[だけ] 
半時間だけ,30分だけ 
不完全に 
かなり,ほとんど","The surgery, performed at our clinic, is over in half an hour.",手術は医院内で三十分以内に完了します。
he,彼,hi,Object form of a male person you are talking about,"鬼ごっこ(tag,tick,tig)",What a crank he is!,なんてつむじ曲がりなやつだ。
in,〜の中の,ɪn,Being inside something,inch[es],"In any case, now I'm considering trying out some likely things.",とにかくよさげな事は試してみようと思っているとこです。
January,1月,ˈʤænjuˌɛri,1st month of the year,"『1月』(《略》『Ja.,Jan.』)",I've got to take my library books back before January 25th.,僕は一月の二十五日までに図書館の本を返却しなければならない。
June,6月,ʤun,6th month of the year,"『6月』(《略》『Je.,Jun.』)",She will have been married for six years on June 10th of this year.,彼女は今年の６月１０日で結婚して６年になる。
lean,傾く；もたれる,lin,To balance against or on something for support,"《副詞[句]を伴って》〈建物などが〉『傾く』 
《副詞[句]を伴って》『上体を曲げる』 
(…に)『もたれる』,寄りかかる《+『on』(『upon, against』)+『名』》 
(…のことで…に)『頼る』《+『on』(『upon』)+『名』+『for』+『名』》 
(…に)〈意見・気持ちなどが〉傾く《+『to』(『toward』)+『名』》 
《副詞[句]を伴って》〈体・頭など〉‘を'『曲げる』,傾ける 
(…に)…‘を'『もたせかける』,立て掛ける《+『名』+『against』(『on, upon』)+『名』》 
傾くこと;傾き",Yasunori leaned into the armrest and looked in bemusement at the breakfast laid before him.,保憲は脇息に身を預け、目前に出された朝餉に当惑の目を当てていた。
may,〜してもよい；～かもしれない；～であろう,meɪ,"expresses permission, possibility or probability","《現在・未来の事柄・可能性の推量》…『かもしれない』,たぶん…だろう,…のこともある;《「may have+過去分詞」の形で過去の事柄の推量》…した(だった)かもしれない,たぶん…だったろう 
《but節を伴って譲歩を表して》…『かもしれない』 
《まれ》《疑問文で強い不確実の意を強めて》いったい…だろうか,…かしら 
《許可》…『してもよい』,してもさしつかえない 
《容認》…『しても』(『と言っても』)『さしつかえない』,…する(と言う)のももっともだ 
《能力》…『できる』 
《文》《祈言・言望・のろい》…『することを祈る』,…しますように 
《おもに文》《言望・恐れなどの名詞節に》…するように,…しないかと 
《目的の副詞節に》…『するために』,…できるように 
《譲歩の副詞節に》『[たとえ]…であっても』,…かもしれないが","The container may be the best in Japan, but if the contents are third class, then isn't it completely meaningless?",いくら器だけを日本一にしても、中身が三流やったらな〜んの意味もないんちゃうの？
Monday,月曜日,ˈmʌndi,second day of the week; the day after Sunday,『月曜日』(《略》『Mon.』),He'll be back by Monday morning at the latest.,彼は、遅くとも月曜の朝までには戻るでしょう。
new,新しい,nu,"Not old, recently born, built or made","(その状態になってまだ時間がたっていなくて)『新しい』;《名詞の前にのみ用いて》新しく発見(発明)された,新しく来た 
《名詞の前にのみ用いて》目新しい,初めて聞く,なじみのない 
《補語にのみ用いて》(人が)(…に)『まだ慣れていない』,(…を)よく知らない《『to』+『名』》 
《補語にのみ用いて》(人が)(…から)出てきたばかりの《+『from』+『名』》 
《名詞の前にのみ用いて》まだ着た(使った)ことがない,新品の 
新たに始まる;(肉体的・精神的に)一新した 
《おもに複合語を作って》最近(recently);新たに,新しく(newly)",New Year shrine visit; which shrines are potent?,初詣、ご利益があるのはどこの神社？
news,知らせ,nuz,information about recent events,"(新しい)『報道』,記事;(一般的に)知らせ,たより) 
(耳新しい)『事件』,でき事 
《N-》(新聞名として)…新聞",The old man looked surprised at the news.,老人はその知らせに驚いたようだった。
no,いいえ，少しの～もない；決して～ない,noʊ,being none; not having or being,"《名詞の前に置いて》『一つも』(『一人も,少しも』)…『ない』 
《補語につけて》『決して…でない』 
《省略文で》…なし;…お断り 
《話》少ししか(あまり)…ない 
(肯定の問いに対して)『いいえ』;(否定の問いに対して)はい,ええ 
《not, norの前に挿入して》『いや』,否 
《形容詞の前に置その形容詞を否定して》…どころではない 
《比較級の前に置いて》ちっとも…でない,…と全く同じ 
《… or no の形で》…であってもなくても 
《驚き・困惑・不信などを表して》とんでもない 
《単数形で》『拒否』,「『いいえ』」という返事 
《複数形で》反対[投]票",The downclimb here is also dangerous as there are no handholds.,ここの下りも手掛かりがないので危険だ。
north,北,nɔrθ,direction to your left when facing the rising sun,"《the~》『北』;北方 
《the~,the N-》北部[地方],北方[地域] 
《the N-》米国の北部諸州(特にOhio川以北のMaryland州・Missouri州を含む諸州;南北戦争で南部同盟諸州と戦った) 
『北の』,北部の,北向きの;北からの 
『北に』,北方へ",That's just how cunning North Korea (and China) is.,それだけ北朝鮮は（中国も）狡猾なんです。
on,～の上にある,ɑn,Located on surface of something e.g. a table or wall,"(また《文》upon)《位置・場所》…『の上に』,の上で,の上の 
(また《文》upon)《運動・動作の方向・対象》…『に』[向かって] 
《話》…を身につけて 
(また《文》upon)《近接して場所》…の近くに,…に面して,…の側に 
《特定の日時》…『に』 
《状態》…『して』,…中で,…すると 
(また《文》upon)…『について』,…に関して 
《目的》…『で』,…に 
(また《文》upon)…に基づいて,…によって,…の支え(助け)で 
《所属を表して》(委員会・チームなどの)一員で 
(また《文》upon)…を軸にして,…で 
(また《文》upon)《前後に同じ名詞を並べて》…に加えて,…についで 
『上に』,『身につけて』 
(電気・水道・ガス・ラジオなどが)『ついて』,通じて 
行われて,続けて,従事して 
《時の副詞[句]を伴って》前方へ,ずっと","5. When the reaction is over, place the test-tube on a damp cloth.",５．反応が終わったら、濡れ雑巾の上に試験管をおく。
option,【名】選択(肢)；選択権；売買選択権；付加的機能；付属品,ˈɑpʃən,possibility out of several that can be chosen; choice,"〈U〉選択すること,選択の権利(自由) 
〈C〉(…として)選択できるもの;(…の)選択科目《+『for』+『名』》 
〈C〉(…の)選択売買権(一定期間内に一定価格で売買する権利)《+『on』+『名』》","They'll be attacked if they carelessly express an original viewpoint, so they only report on the safe options.",下手に独自の方向性を出すと、攻撃されてしまうから、安全パイの報道しかしない。
park,駐車場，駐車させる,pɑrk,to put your car or bike in a certain place for a time,"(町の中の)『公園』,庭園 
自然公園 
《米》(観覧席などで囲まれた)競技場;《英》サッカー場 
《英》(貴族や大地主の邸宅の)広大な敷地,大庭園 
=parking lot 
〈車〉‘を'『駐車する』 
《話》(ある時間)〈物〉‘を'置く,預ける 
『駐車する』","Hey, Cleo. Don't wander around too much, OK? We've only just entered the park.",おい、クレオ。あんまりうろちょろするなー？まだ入園したばっかりなんだぞ。
post,郵送する,poʊst,To send a letter or package using the post office,"〈C〉(木・金属・石などの)『柱』,『支柱』,くい 
《the ~》(競馬の)出発標,決勝標 
〈C〉《話》(ラグビーなどの)ゴールポスト(goalpost) 
(柱・壁などに)〈掲示物〉‘を'『張る』,張り出す《+『名』〈掲示物〉+『on』+『名』》;(掲示物を)〈柱・壁など〉‘に'張る《+『名』+『with』+『名』〈掲示物〉》 
(掲示して)…‘を'公表する,公示する 
《通例受動態で》(…として)…‘を'掲示(発表)する《+『名』+『as』+『現分』(過分)》",I saw your name and posts in an English forum and took the liberty of reading your profile.,英語のコミュニティでお名前とコメントを拝見し、プロフィールを拝読しました。
pro,専門職,proʊ,Playing a sport as a job,"賛成論;賛成票(者) 
賛成して",He has remained pro-conservative throughout.,彼は保守党一辺倒で押し通した。
read,読む,rid,To look at and comprehend the meaning some writing,"〈書かれた物・印刷された物〉‘を'『読む』 
〈書かれた物・印刷された物〉‘を'『読み上げる』,読んで聞かせる 
〈外国語・文学・記号など〉を判読する,解読する 
〈事〉‘を'『読んで知る』 
〈隠れた意味など〉‘を'『読み取る』,見抜く 
〈計器・時計が〉…‘を'示す,表示する(show) 
《文》(…を)…‘と'訂正して読む,読み替える《+『名』+『for』+『名』》 
《英》(大学で)…‘を'学ぶ,専攻する 
『本を読む』,読書する 
『音読する』;(人に)読み上げる《+『to』+『名』》 
(…のことを)読んで知る《+『about』(『of』)+『名』》 
《副詞[句]を伴って》〈本などが〉(…と)読める,読んでみると(…)である,〈物事が〉(…と)解釈される","You can go skiing if you like, but for my part I prefer to stay at home and read a novel.",よろしかったらスキーに行っていいですよ、でも私としては、家にいて小説でも読む方がいいです。
return,戻す；返す，帰宅；返却；復帰；お返し,rɪˈtɜrn,To come back to a place again,"(…から元の場所・状態などに)『帰る』,戻る《+from+名+to+『名』》 
再び起こる,再発する 
(元の持ち主・場所・状態に)…‘を'『返す』,戻す《+『名』+『to』+『名』》 
(同じようなやり方で)(…に対して)…‘を'『お返しする』,…‘で'こたえる《+『名』+『for』+『名』》 
…‘を'公式に報告する,答申する 
〈利子・利益など〉‘を'生む,生ずる 
(国会議員などに)…‘を'選出する 
《しばしば引用節を従えて》…‘と'言葉を返す,返答する 
〈C〉(…から…べ)『帰って来ること』,帰還《+『from』+『名』+『to』+『名』》 
〈U〉〈C〉(…が)再び起ること(来ること);(病気の)再発《+『of』+『名』》 
〈U〉(…を)戻すこと,(…の)返却《+『fo』+『名』》 
〈U〉〈C〉(…に対する)返礼,返報《+『for』+『名』》 
〈C〉公式の報告[書],答申,(所得の)申告 
〈C〉《しばしば複数形で》収入;利潤 
《英》(国会議員などの)選挙 
《米》『帰りの』;《英》往復の(《米》round・trip)) 
返しの,返報の","In order to return to our era, what should we do?",私達の時代に戻るにはどうやったらいいの？
rice,米,raɪs,white or brown grains from a plant used for food,"『米』(欧米ではプディングやケーキの原料にも用いる) 
イネ(稲) 
〈ゆでたジャガイモ・カボチャなど〉‘を'ライサー(ricer)で米粒ほどの太さのそうめん状にする",It is the drop in the rice pricing (blamed on consumers' loss of interest in rice and the freeing up of the international market) that is the cause.,消費者の米離れや国際市場解放が原因とされる米価の下落が原因だ。
school,学校；教習所,skul,building where you learn in classes with a teacher,"〈C〉(施設としての)『学校』 
〈C〉(大学の)『学部』 
〈C〉教習所,養成所,訓練所 
〈C〉『校舎』,学校の建物 
〈U〉《冠詞をつけないで》『授業』[『時間』]課業 
〈U〉《冠詞をつけないで》学校教育,学業 
《the~》《集合的に》全校生徒および教職員 
〈C〉(学問・芸術などの)『派』,学派,流派 
〈人〉‘を'教育する,‘に'教える 
…‘を'しつける,訓練する",Take it seriously! The school festival won't wait for us. We're already in the final countdown.,真剣にやってよね。学園祭は待ってくれないんだよ、もう大詰めなんだから。
software,ソフトウェア,ˈsɔfˌtwɛr,market for software is expected to expand,ソフトウェア(コンピューターに関係するプログラム・手順・規則などの文書類の総称),"Once you get the hang of it, spreadsheet software is really useful.",表計算ソフトは、覚えておくと何かと便利よ。
sun,太陽,sʌn,the hot shining star the Earth moves around,"《the~》『太陽』,日 
〈U〉《the~》『日光』 
〈C〉恒星 
〈自分〉‘を'日光にさらす 
日光浴をする",The sun had barely risen at the foot of the mountain when she set out alone up the slope.,山の麓に日が昇るが早いかただ一人山を登り始めた。
tea,お茶,ti,drink made when you put dried leaves in hot water,"〈U〉『茶』,(特に)紅茶 
〈U〉(乾燥した)茶の葉;茶の木 
〈U〉茶に似た飲料,煎じ茶 
〈C〉〈U〉『午後のお茶』 
〈C〉〈U〉『お茶の会』(午後の軽食を出すパーティー)",Tea is like the lubricating oil of work to allow it to proceed smoothly.,お茶は仕事をスムーズに運ばせるための潤滑油のようなもの。
toy,おもちゃ,tɔɪ,"things children play with, as dolls or small cars","『おもちゃ』,玩具 
小さくてちゃちな物 
《名詞の前にのみ用いて》 
おもちゃの,愛玩用の 
(…を)いじくり回す,もてあそぶ《+with+名(doing)》",Please fix my toy.,僕のおもちゃを直して。
